unsorted_usage,reversed_usage,nearly_sorted_usage,sorted_usage
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
40,40,40,40
