Column,Average
merged_columns_mergesort3_1000_sorted_times,121049.23
mergesort1_100_memory_unsorted_usage,804.0
mergesort1_100_memory_reversed_usage,804.0
mergesort1_100_memory_nearly_sorted_usage,804.0
mergesort1_100_memory_sorted_usage,804.0
mergesort3_10_memory_unsorted_usage,40.0
mergesort3_10_memory_reversed_usage,40.0
mergesort3_10_memory_nearly_sorted_usage,40.0
mergesort3_10_memory_sorted_usage,40.0
mergesort2_1000_times_unsorted_times,171375.02
mergesort2_1000_times_reversed_times,125498.81
mergesort2_1000_times_nearly_sorted_times,149986.94
mergesort2_1000_times_sorted_times,126479.06
mergesort1_10_times_unsorted_times,10051.74
mergesort1_10_times_reversed_times,7890.94
mergesort1_10_times_nearly_sorted_times,7900.7
mergesort1_10_times_sorted_times,8081.76
mergesort4_100_memory_unsorted_usage,0.0
mergesort4_100_memory_reversed_usage,0.0
mergesort4_100_memory_nearly_sorted_usage,0.0
mergesort4_100_memory_sorted_usage,0.0
mergesort3_100000_times_unsorted_times,12981357.75
mergesort3_100000_times_reversed_times,12731227.3
mergesort3_100000_times_nearly_sorted_times,17230244.83
mergesort3_100000_times_sorted_times,12974806.05
mergesort3_100_memory_unsorted_usage,400.0
mergesort3_100_memory_reversed_usage,400.0
mergesort3_100_memory_nearly_sorted_usage,400.0
mergesort3_100_memory_sorted_usage,400.0
mergesort2_10000_memory_unsorted_usage,40000.0
mergesort2_10000_memory_reversed_usage,40000.0
mergesort2_10000_memory_nearly_sorted_usage,40000.0
mergesort2_10000_memory_sorted_usage,40000.0
mergesort1_1000_memory_unsorted_usage,8000.0
mergesort1_1000_memory_reversed_usage,8000.0
mergesort1_1000_memory_nearly_sorted_usage,8000.0
mergesort1_1000_memory_sorted_usage,8000.0
mergesort4_100_times_unsorted_times,2969.01
mergesort4_100_times_reversed_times,2895.77
mergesort4_100_times_nearly_sorted_times,4125.56
mergesort4_100_times_sorted_times,3663.41
mergesort2_100_memory_unsorted_usage,400.0
mergesort2_100_memory_reversed_usage,400.0
mergesort2_100_memory_nearly_sorted_usage,400.0
mergesort2_100_memory_sorted_usage,400.0
mergesort3_100_times_unsorted_times,16899.94
mergesort3_100_times_reversed_times,11699.36
mergesort3_100_times_nearly_sorted_times,13645.47
mergesort3_100_times_sorted_times,12004.41
mergesort1_1000_times_unsorted_times,195273.99
mergesort1_1000_times_reversed_times,184200.93
mergesort1_1000_times_nearly_sorted_times,205759.74
mergesort1_1000_times_sorted_times,182422.29
mergesort3_1000000_memory_unsorted_usage,4000000.0
mergesort3_1000000_memory_reversed_usage,4000000.0
mergesort3_1000000_memory_nearly_sorted_usage,4000000.0
mergesort3_1000000_memory_sorted_usage,4000000.0
mergesort2_10_times_unsorted_times,1249.83
mergesort2_10_times_reversed_times,1008.81
mergesort2_10_times_nearly_sorted_times,1019.8
mergesort2_10_times_sorted_times,1019.43
mergesort2_100_times_unsorted_times,15179.23
mergesort2_100_times_reversed_times,11664.85
mergesort2_100_times_nearly_sorted_times,12915.11
mergesort2_100_times_sorted_times,11970.57
mergesort1_10000_memory_unsorted_usage,80016.0
mergesort1_10000_memory_reversed_usage,80016.0
mergesort1_10000_memory_nearly_sorted_usage,80016.0
mergesort1_10000_memory_sorted_usage,80016.0
mergesort2_100000_memory_unsorted_usage,400000.0
mergesort2_100000_memory_reversed_usage,400000.0
mergesort2_100000_memory_nearly_sorted_usage,400000.0
mergesort2_100000_memory_sorted_usage,400000.0
mergesort3_1000_memory_unsorted_usage,4000.0
mergesort3_1000_memory_reversed_usage,4000.0
mergesort3_1000_memory_nearly_sorted_usage,4000.0
mergesort3_1000_memory_sorted_usage,4000.0
mergesort2_1000000_memory_unsorted_usage,4000000.0
mergesort2_1000000_memory_reversed_usage,4000000.0
mergesort2_1000000_memory_nearly_sorted_usage,4000000.0
mergesort2_1000000_memory_sorted_usage,4000000.0
mergesort4_1000000_times_unsorted_times,44021345.74
mergesort4_1000000_times_reversed_times,39951225.67
mergesort4_1000000_times_nearly_sorted_times,104423495.72
mergesort4_1000000_times_sorted_times,43874412.66
mergesort1_1000000_memory_unsorted_usage,8000024.0
mergesort1_1000000_memory_reversed_usage,8000024.0
mergesort1_1000000_memory_nearly_sorted_usage,8000024.0
mergesort1_1000000_memory_sorted_usage,8000024.0
mergesort4_100000_times_unsorted_times,3501228.68
mergesort4_100000_times_reversed_times,3410630.09
mergesort4_100000_times_nearly_sorted_times,8459385.42
mergesort4_100000_times_sorted_times,3509693.76
mergesort4_1000_memory_unsorted_usage,0.0
mergesort4_1000_memory_reversed_usage,0.0
mergesort4_1000_memory_nearly_sorted_usage,0.0
mergesort4_1000_memory_sorted_usage,0.0
mergesort4_10_times_unsorted_times,170.34
mergesort4_10_times_reversed_times,166.17
mergesort4_10_times_nearly_sorted_times,167.91
mergesort4_10_times_sorted_times,164.81
mergesort2_10000_times_unsorted_times,1271816.17
