unsorted_usage,reversed_usage,nearly_sorted_usage,sorted_usage
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
800020,800020,800020,800020
