unsorted_times,reversed_times,nearly_sorted_times,sorted_times
32887,17040,22141,17259
16912,16424,20259,16596
16229,16242,19644,16345
16313,19791,19479,16273
16157,16229,19230,16162
16375,16291,19510,16258
16113,16046,21709,16385
16182,15951,19184,16459
16129,15980,19226,16448
16393,16031,19945,16793
16091,16160,19515,16406
16175,16200,19337,16593
16100,16005,19309,16577
16234,16403,19448,16394
16400,16083,19282,16611
16092,16158,19391,16510
16245,16188,19310,16473
16347,16254,19376,16538
16256,16062,19101,16571
16146,16002,19341,16439
16212,16091,19570,17071
16192,16134,19183,16519
16172,16144,19432,16585
16326,16041,19165,16546
16158,16040,19107,16644
16188,16153,19293,16620
16194,16172,19154,16536
16161,16019,19463,16479
16354,16110,19190,16362
16323,16004,19414,16301
16337,15946,19504,16353
16373,16096,19420,16518
16320,16064,19490,16335
16340,16204,20043,16403
16365,15899,19483,16401
16360,15968,20077,16411
16352,16219,19455,16400
16410,16023,19243,16351
16345,16100,19730,16312
16085,16094,19683,16400
16402,16217,19777,16299
16336,15918,19183,16391
16317,15885,19668,16346
16310,15964,19339,16325
17044,16059,19511,16421
16981,16659,19716,16369
17004,16860,19611,16302
17004,16614,19342,16364
16993,16420,19136,16307
16998,16427,19878,16435
16926,16538,20040,16484
16988,16413,19286,16362
17081,16354,20087,18312
17321,16484,19795,25738
17230,16512,19989,15640
17157,16660,19750,15196
17339,16592,19606,15123
16988,16391,21343,14967
17035,17130,19399,14962
17075,16530,19513,15027
18151,16658,19377,19470
16457,16857,19547,13967
16618,16747,19482,12242
16594,16478,19582,12251
16684,18251,19543,12256
16681,16831,19352,12269
16641,16831,19539,12280
16753,16580,19363,12221
16664,16401,19532,12223
16600,16614,19517,12198
16746,16508,19532,12314
16738,16594,19324,12361
16505,16293,20310,12123
16679,16566,20428,12179
16828,16747,20393,12204
16990,16827,20072,12257
16853,16376,20242,12269
16578,16549,20019,12300
16512,16567,20019,12212
16644,16577,20323,12238
16873,16818,19864,12235
16771,16916,20185,12194
17383,16770,19597,12234
17231,16660,20067,12192
17430,16631,19812,12287
17059,16592,20023,12234
17343,16150,19548,12290
17139,16398,19947,12230
17272,16333,20023,12263
17345,16535,19526,12298
17054,16299,19383,12153
17278,16869,19795,12190
17113,16287,19989,12212
17282,16602,19876,12133
17341,16759,19877,12180
17108,16688,19576,12255
17286,16615,19536,12268
17346,16894,19536,12269
17255,16457,19339,12242
17078,16738,19410,12202
