unsorted_times,reversed_times,nearly_sorted_times,sorted_times
206660515,202070712,249939862,203604485
205036807,196737332,246455648,201144256
202370719,197449023,249309675,200624300
203923570,195822231,247645362,202382431
202778736,196839162,247318065,201765113
203024980,194609760,247357568,200646307
201453508,196292838,247486412,202168783
201661951,195084331,246127643,203080817
202653513,196063713,248078221,201682260
201988485,195918231,246896888,203743008
202323258,196547494,250436983,201290826
201746334,197681970,247593332,202285974
201253897,196354221,245855638,201252837
201621935,196573165,247900697,201905583
201176919,198171676,246220460,203645605
200795483,196312969,247207855,203403321
202358363,196578668,247662150,201547474
202645834,197260397,249698511,201537242
200739906,197160780,246488834,201117777
201480533,199453448,248260265,201712436
201129259,196409095,247869572,201132174
201424101,195327031,247771968,201247698
200282167,197841688,248788893,201809736
200944258,196286728,248146302,200548393
201304700,195522963,248558550,201429348
204393581,198595827,247570334,202940967
199910491,195712154,247690850,202560001
200721327,198664839,248356810,202607686
203203023,197728393,248749113,201407330
200533750,196909792,248458204,200524149
201188942,197184944,248352445,199171859
203028728,196887908,250198491,201106891
203746104,197013636,248517689,198731681
201570854,198257593,250076020,202071935
202062488,197632909,247229036,201927626
200894827,197072909,247036675,201666835
201384571,197830914,246606520,203860657
201013163,195169309,246533282,202753275
202216581,197618846,250552587,202895411
201934387,198020276,247937329,202756736
202628127,196346715,247636731,202762348
201806826,197863927,248765615,201865641
201972044,198956881,246444071,200229617
201734276,195497945,248766485,200986065
202905495,195813641,248560634,199838384
200022356,197689800,246969388,202796505
198733325,197000700,247524572,201610655
202177456,196168993,246944586,201079243
199986258,195925821,249312144,202059154
201319272,195488921,247820686,202278344
201590885,194877121,247099928,202821827
201245705,198862776,246451027,202130427
199251216,196107495,247419037,201824109
201610230,195223447,246878211,203720856
201430910,198386553,247951211,202003574
201258463,199559199,248644388,200810742
199851698,197433787,246102870,206046991
202492107,195821134,247616713,202230199
220073954,196595430,248257737,203044118
205827948,196910522,246062830,199369931
202085794,193696966,247541134,202563418
201175646,194875235,247900121,201323087
200874206,196099811,248836060,202427664
201710804,194770002,247629121,202183211
200917734,196698424,247568424,201173160
199012656,197103809,246265169,203155380
202494568,196080422,246787098,204041717
202389301,197444836,249315100,203648138
202659536,197713342,249552888,205180475
200461250,196986850,247765915,201195304
202856852,195967682,246935749,200501163
202850810,199018010,246553733,203182871
201849574,197765077,248920740,204530792
202699682,196468082,247581573,199665740
202088436,198403362,247407686,201903891
202259053,196495068,247378256,200721569
201710192,193327919,247774527,202435506
202092209,197224917,248309333,202139594
200747326,198062567,248342664,200432083
200552669,197464236,247684904,200445360
201683247,197845332,250455992,200639211
203653307,195870498,249837815,201480244
202477762,197799050,245513398,201002066
200855132,196007224,248429806,200798517
200618364,198414493,246659246,201795817
200967665,197929101,247255611,202992391
201100795,196714607,247321113,201661505
200337374,199257275,247660022,200085536
200709784,198896880,248086822,201784500
200929256,197567030,248668998,201684968
202659848,195931342,247255191,203777539
200977154,197389842,247378846,199931120
203848771,195873418,246660757,202086198
200831596,198216163,247397440,200375857
201787965,198082528,247949058,201371142
200725322,195326177,245636097,201530995
201523030,196584274,247930319,200609422
200313383,197866166,249300701,200998160
201294487,196136178,247723233,200477716
202083670,198521455,248888588,203566068
