unsorted_times,reversed_times,nearly_sorted_times,sorted_times
3849,3242,6610,3593
3263,2874,5698,3229
3183,2862,5152,3224
3179,2875,5020,3216
3162,2852,4947,3206
3166,2852,4911,3208
3169,2858,4947,3206
3179,2852,4936,3215
3178,2851,4936,3219
3183,2852,4930,3207
3170,2845,4914,3192
3170,2843,4886,3187
3164,2840,4892,3195
3161,2838,4909,3192
3163,2841,4910,3195
3166,2842,4933,3201
3169,2846,4927,3205
3178,2856,4924,3202
3175,2858,4932,3208
3174,2849,4912,3190
3169,2855,4955,3188
3167,2844,4944,3191
3165,2849,4913,3194
3163,2840,4909,3194
3165,2846,4924,3199
3169,2848,4954,3205
3173,2852,4937,3202
3176,2854,4950,3200
3175,2856,4928,3197
3173,2858,4918,3195
3170,2856,4925,3184
3166,2853,4943,3192
3163,2852,4950,3193
3187,2840,4916,3201
3165,2847,4934,3199
3169,2848,4925,3204
3173,2849,4905,3200
3174,2853,4936,3195
3173,2855,4946,3193
3170,2857,4933,3190
3169,2858,4940,3189
3163,2855,4938,3194
3161,2853,4937,3198
3164,2850,4954,3199
3167,2848,4943,3204
3170,2845,4916,3203
3173,2849,4943,3201
3176,2851,4944,3195
3173,2854,4922,3192
3170,2856,4933,3193
3165,2858,4942,3193
3162,2857,4943,3192
3162,2854,4931,3196
3165,2852,4936,3203
3169,2850,4912,3204
3172,2847,4923,3198
3175,2846,4942,3198
3173,2848,4937,3196
3170,2853,4937,3192
3170,6982,4904,3192
3165,2858,4927,3194
3161,2881,4907,3198
3164,2853,4934,3198
3166,2842,4937,3203
3170,2840,4926,3200
3178,2874,4930,3200
3176,2844,4940,3195
3172,2844,4922,3190
3169,2848,4923,3190
3166,2850,4928,3188
3163,2850,4944,3194
3162,2848,4932,3204
3165,2844,4936,3197
3167,2841,4914,3209
3173,2840,4910,3204
3174,2838,4937,3195
3174,2841,4934,3192
3170,2845,4938,3194
3168,2848,4917,3192
3164,2849,4896,3190
3162,2850,4914,3197
3163,2849,4944,3200
3166,2846,4943,3200
3169,2844,4935,3201
3171,2841,4930,3199
3174,2840,4914,3197
3174,2840,4911,3194
3170,2842,4932,3191
3168,2843,4939,3190
3165,2846,4935,3193
3162,2850,4930,3199
3164,2851,4903,3201
3168,2848,4922,3203
3172,2846,4945,3200
3172,2843,4933,3196
3175,2841,4915,3195
3174,2838,4929,3193
3170,2839,4933,3188
3165,2843,4933,3195
3162,2844,4918,3197
