unsorted_times,reversed_times,nearly_sorted_times,sorted_times
44650,27183,58506,27285
41100,26193,56637,26899
41008,26287,58093,26917
40936,26125,59786,26774
40914,26238,54945,26890
40937,26159,54753,26898
40919,30549,54214,26795
40910,25797,54349,26906
40934,26267,54080,26821
40909,25974,53764,29077
40917,26402,53613,27750
40932,26274,53213,27729
40929,29002,53167,28095
40921,26762,53015,27881
40927,26945,53391,27983
40934,26973,53288,27672
40903,26331,53294,27573
40926,26820,53135,27931
40930,26586,53110,27387
40900,26811,53187,27749
40923,26840,55064,27925
40930,26819,53053,27984
40912,26847,53753,28064
40921,26846,52755,27933
42989,26909,52312,27985
40892,26857,52478,28031
40908,26807,52376,27870
40916,26986,52161,28065
40895,26919,52382,28063
40893,26913,52514,27975
40916,26683,52421,28060
40895,26785,52567,28022
40897,26907,52466,28082
40952,26583,52767,27665
40917,26546,52239,27297
40904,26947,52176,27342
40936,26809,52147,27317
40919,26835,52003,27240
40907,26891,52308,27494
40927,26800,54598,27281
40930,26800,52863,27323
40906,26841,52552,27221
40926,26794,52639,27295
40929,26762,52780,27361
40901,26730,52696,28662
40920,26836,52540,27713
40929,26857,52263,27711
40906,26730,52683,27720
43166,26855,52543,27751
40939,30560,52786,27780
40906,25981,52727,27659
40918,25962,53791,27680
40933,26441,52531,28247
40915,26678,52539,27497
40904,26553,52500,27642
40934,26585,52415,27499
40913,26633,53004,27222
40905,26583,52833,27320
40934,26478,54469,27368
40920,26314,52358,27387
40910,26448,52357,27449
40936,26242,52210,27339
40925,26272,52492,27454
40902,26328,52129,27445
40918,26373,52059,27286
40926,26166,52098,28226
40906,26271,52045,27623
40924,26331,51950,27386
40936,26275,52115,27463
40905,26422,52302,27346
40918,26309,52295,27408
40932,26271,52019,27524
40914,26276,52017,27340
43293,26385,52077,27458
40936,26335,52077,27397
40909,26427,52076,28528
40908,26338,52200,27339
40936,26325,54001,27330
40915,26268,52199,27345
40906,26322,52125,27427
40936,26352,52024,27446
40923,26325,52154,32292
40911,26262,52238,27349
40934,26234,51973,27014
40919,26243,51559,27193
40900,26215,51776,27546
40924,26281,52105,26964
40925,28153,52114,26945
40908,26199,52147,27329
40922,26267,51928,26868
40934,26489,52139,27240
40906,26552,52324,27379
40915,26584,52143,27336
40935,26648,51966,27271
40923,26757,52349,27102
40913,26820,52379,26947
40937,26697,54395,27263
52943,26472,52643,26835
34219,26185,56354,26883
33738,26037,60437,27385
