unsorted_times,reversed_times,nearly_sorted_times,sorted_times
11577,2066,2339,1984
2025,1740,1874,1745
1671,1561,1745,1607
1695,1739,1736,1641
1691,1633,1775,1765
1728,1559,1734,1695
1645,1536,1639,1617
1720,1592,1691,1663
1740,1620,1774,1679
1675,1565,1725,1717
1671,1514,1699,1743
1616,1525,1658,1703
1622,1542,1715,1616
1591,1508,1794,1705
1605,1589,1659,1659
1596,1650,1660,1713
1606,1579,1699,1793
1611,1616,1798,1698
1610,1670,1623,1755
1741,1667,1733,1628
1632,1643,1770,1653
1615,1605,1699,1786
1610,1578,1686,1691
1652,1597,1739,1772
1663,1579,1761,1588
1656,1621,1764,1649
1639,1576,1642,1752
1585,1635,1713,1632
1678,1626,1625,1646
1660,1575,1691,1760
1592,1652,1713,1683
1590,1640,1703,1684
1654,1562,1692,1675
1618,1626,1704,1652
1600,1626,1732,1739
1607,1586,1715,1625
1586,1570,1693,1581
1569,1598,1725,1598
1595,1577,1682,1710
1626,1586,1664,1674
1572,1575,1715,1619
1613,1527,1688,1707
1565,1642,1705,1672
1641,1580,1696,1713
1580,1562,1719,1646
1582,1582,1617,1657
1621,1645,1729,1618
1569,1652,1745,1746
1605,1614,1733,1643
1646,1633,1645,1755
1642,1597,1718,1687
1570,1611,1664,1676
1568,1676,1723,1690
1575,1587,1758,1696
1642,1656,1663,1712
1618,1595,1678,1606
1604,1598,1739,1701
1681,1643,1645,1758
1586,1592,1662,1746
1665,1587,1668,1731
1669,1644,1701,1648
1651,1574,1663,1652
1618,1612,1703,1672
1651,1696,1740,1695
1613,1548,1656,1729
1839,1608,1705,1704
1689,1703,1759,1722
1717,5036,1731,1643
1659,1610,1745,1720
1662,1693,1686,1699
1616,1606,1634,1675
1649,1543,1749,1718
1595,1682,1735,1684
1598,1621,1616,1723
1665,1590,1654,1782
1607,1592,1671,1693
1684,1586,1617,1650
1688,1660,1665,1735
1736,1670,1736,1684
1635,1579,1711,1643
1636,1610,1675,1671
1598,1684,1686,1760
1618,1566,1684,1702
1601,1574,1766,1749
1727,1564,1747,1637
1691,1715,1706,1695
1661,1609,1732,1738
1651,1729,1712,1662
1596,1576,1608,1720
1609,1668,1717,1670
1579,1592,1692,1641
1578,1561,1704,1738
1639,1614,1624,1697
1666,1669,1726,1709
1565,1755,1665,1662
1637,1614,1692,1759
1582,1659,1738,1692
1580,1587,1687,1670
1575,1630,1694,1654
1581,1625,1736,1617
