unsorted_times,reversed_times,nearly_sorted_times,sorted_times
3816466,3553857,9189631,4182294
3778209,3536116,8821800,4030018
3564676,3545830,8801533,3882984
3573578,3533328,8706095,3751288
3567175,3701909,8404633,4008073
3571522,3444848,8331948,3626329
3583224,3358226,8483295,3605520
3579734,3346916,8509154,3941852
3552783,3348013,8301714,3564255
3571154,3357161,8331398,3561399
3747897,3352462,8847045,3579953
3664362,3563303,8360877,3576601
3680586,3356458,8318123,3560785
3614278,3351488,8358658,3699572
3563863,3362847,8412257,3869284
3562534,3356904,8359756,3567555
3643668,3356200,8443873,3801979
3567436,3364141,8522857,3576425
3725145,3355982,8313979,3562698
3624301,3593494,8297914,3902815
3651292,3360837,8309953,3749856
3607136,3391447,8350000,3558675
3596842,3345345,8321973,3587860
3739555,3354152,8408517,3690268
3581973,3375161,8354068,3572782
3547506,3409750,8352874,3831151
4183575,3351586,8334204,3630188
4158770,3346950,8358650,3562778
3725984,3365533,8360889,3600975
3915403,3373891,8964717,3564389
3702895,3648893,8413264,3563736
3764456,3966808,8412407,3712489
3677875,3680174,8344585,3691169
3590662,3354591,8325302,3578998
3727852,3602970,8292219,3605981
3570487,3414027,8365923,3556355
3566570,3591450,8364717,3851513
3850783,3569664,8661381,3883022
3566640,3347441,8554397,3560031
3715003,3372548,8404987,3573919
3779226,3355144,8475060,3558121
3553624,3393481,8673507,3566436
3600255,3348486,8279049,3667169
3566784,3480863,8714030,3910239
3611245,3506577,8429873,3711424
3561086,3511465,8300660,3704553
3576169,3356115,8373750,3768475
3698509,3379789,8351336,3570603
3571861,3348574,8592475,3574437
3575264,3344935,8296372,3575875
3560136,3369461,8375720,3583569
3564609,3353463,8538975,3584962
3578886,3752167,8461674,3733514
3690702,3405356,8391966,3869733
3625438,3356229,8402533,3713311
3569720,3370755,8352832,3887974
3560287,3350174,8328087,3560218
3560541,3641830,8363478,3823630
3611044,3358262,8447483,3757035
3550904,3358814,8455477,3758567
3549433,3355652,8423800,3660011
3569160,3344122,8308401,3578740
3700505,3452507,8336805,3597901
3567651,3529726,8287977,3568848
3567339,3944259,8347330,3561755
3555370,3346702,8301096,3828568
3567549,3379518,8303879,3838514
3578922,3356351,8375465,3930136
3640211,3361502,8386455,3603301
3727147,3351528,8278423,3585755
4202992,3353494,8716657,3562301
3802522,3351741,8819225,3566101
3554710,3358249,8916074,3560337
3621029,3377128,8284740,3565791
4190158,3345648,8721871,3565973
3685331,3345588,8328186,3943481
3551934,3352542,8374155,3567764
3586841,3346270,8329858,3573188
3586262,3734811,8301673,3896250
3562127,3710252,8391724,3708938
3576578,3347114,8562510,4017205
3704006,3354710,8271239,3558206
4137580,3355018,8348343,3835105
4153212,3349915,8373456,3591856
4153730,3352233,8316144,3558247
3727582,3356594,8762440,3579101
3753523,3356001,8364101,3578269
3559347,3351234,8410385,3757045
3568246,3425887,8400608,3724538
3581428,3384243,8607420,3607474
3737379,3648829,8415856,3583734
3595773,3350029,8321873,3589676
3801998,3403071,8470366,3582706
3557243,3355482,8314764,3580504
3740374,3515104,8318275,3691850
3620472,3590617,8472326,3575734
3702515,3344425,8387099,3819258
3566120,3373778,8347323,3572366
3720361,3365908,8319555,3925905
3694196,3353497,8299076,3904567
