unsorted_times,reversed_times,nearly_sorted_times,sorted_times
13149793,12958451,17609168,13056328
12710505,12696431,16807480,13830971
13180902,12211199,16787657,12476651
12409381,12353227,16848963,12838799
12432589,12148258,16949263,12367836
12887992,12471525,16600548,12332943
12715101,12312561,16617625,12338116
12774537,12331213,16664879,12332127
12319830,12134548,16791789,12493332
12637979,12181031,16379979,12456189
12360921,12072065,16848320,12603810
12320946,12773257,16544019,12397739
12597384,12068704,17029184,12952360
12318321,12084449,17072333,12480187
12601705,12175732,17236815,12550840
12297094,12624194,17056270,12403280
12597032,12406728,16838026,12522112
12430460,12242074,17633892,12641028
12987551,12431421,17461762,12302386
12537171,12190204,16928966,12645094
12315630,12524228,16879738,12349647
12356055,12206181,17069839,12268453
12459111,12052731,17026952,12483640
12393326,12280038,16930802,12585937
12383432,12336179,16800792,12218367
12407757,13111944,16631713,12378611
12235265,12358933,16962628,12497901
12407232,12347908,16396148,12404773
12322038,12139855,16955997,12276054
12369553,12126723,16797367,12488780
12667934,12580286,16629234,12312089
12564195,12091455,16649458,12744861
12807877,12303807,16640126,12453392
12426194,12089172,17189144,12377975
12688098,12461374,17123726,12409666
12490303,12152739,17281042,12553654
12728125,12980557,16472382,12431518
12467878,12329335,16975778,12759021
12772201,12854461,16929399,12338962
12314096,11975755,16683978,12414549
12820111,12129532,16892338,12792264
12994076,12050805,16722816,12603212
12850922,12066107,16566833,12281348
12273947,12166255,16591536,12278044
12430346,12036074,16680239,12485760
12737698,12355349,16698299,12511092
12454958,12207760,16975431,12409496
12368294,12204552,16835455,12669806
12294767,12214068,16964250,12586439
12844894,12661049,16993484,12729850
12598248,12510446,16644812,12311956
12918018,12222208,16596567,12615182
12293738,12731879,16755709,12706501
12277136,12873216,16580003,12511161
12203168,12046260,16661268,12437021
12292039,12076617,17092500,12552902
12529502,12159835,16911051,12491595
12948716,12117864,16708264,12618984
12484034,12242950,16605856,12450193
12743750,12561552,16953103,12544058
12541720,12075971,16694129,12983311
12315329,12161621,16477119,12667263
13130231,12273508,16802099,12336430
12200416,12177391,17043553,12366898
12330386,12181061,17161867,12457362
12759473,12288612,17163086,12925335
12963547,12335358,16577385,12777000
12765995,12211526,16874193,12913839
12604516,12188696,16810815,12624591
12606562,12495973,16974299,12383434
12458762,12311467,17228910,12499565
12559874,12361787,16954009,12474431
12596519,12441723,16957213,12720884
12541810,12493420,16789414,12538042
12619677,12371599,16910060,12663730
12634157,12286856,16847284,12620257
12656854,12737136,16960365,12586651
12474775,12285455,16860859,12390103
12510815,12303136,16596039,12334239
12287019,12463100,16697961,12189731
12402569,12358353,16914555,12535969
12662053,12219338,16723452,12544853
12641013,12232121,16771700,12532681
12557338,12199389,16689557,12656981
12414497,12429093,16897729,12342947
12330383,12227748,16676821,12385822
12620572,12213469,16648750,12943759
12568051,12237643,16762326,12580840
12227662,12239983,17215951,12659814
12490730,12276640,16670193,12554654
12629983,12535974,17249622,12698025
12519657,12345531,17447612,12733366
12683257,11987968,17244836,12690174
12456532,12109979,16766099,12384299
12511545,12154811,17138076,12815996
12603370,12632276,16995547,12454467
12553985,12018700,16990953,12510880
12730911,12127265,17006915,12211827
12954846,12145468,16531670,12332344
12691587,12777087,16718851,12402528
