unsorted_times,reversed_times,nearly_sorted_times,sorted_times
43990370,41400190,105592358,44980889
43965852,39643487,105347603,44092556
43740991,39179810,103653323,43922383
44264707,39817087,103537275,43552037
43530928,39774233,104183008,43697173
43461538,39960184,105370873,43458457
43582710,39267529,103938225,44054165
43442798,39965546,104168959,43751349
43744464,39783015,104988381,43549730
43968190,39362643,104480624,43705449
43781190,41558381,104030615,43494701
43910716,39364076,103698938,43597888
43793039,39376006,103637832,44294481
44458603,39167513,103168216,44410333
44193213,39932182,105037873,44320831
44112259,40175334,103980031,43644665
43811638,39143107,105803963,43191615
43761147,39966121,104796794,43747359
43960737,39754429,104389176,43882706
43897289,39343122,104489727,43555117
43473471,40548016,105904242,43600617
43916802,39618117,104165721,43702582
43924160,39650582,105151321,44015854
45840025,40366871,103802544,43871728
43594106,39796020,104005743,43914329
44658691,40563861,106130135,43674308
43565331,39110475,105367387,43658734
43974485,39261794,104274364,44121488
43425851,40351352,104526818,43672568
44121676,39809108,104880325,43774966
43758992,40483725,103979077,43916718
43804188,40286267,103696250,44353193
44249336,39514738,105918687,43688311
43337679,40427878,105304762,43599286
44234515,39180808,104376792,43417261
44360915,40790579,104055988,43426870
44447064,39957068,104973872,43252594
44088643,39445006,103482601,43623153
44257911,39089628,104124518,44022004
44815305,39524196,103390718,43897589
43578898,39597389,104904577,43851465
44265041,40249531,104254689,43859859
44072782,39867334,104265424,44523990
43275243,39177651,104452366,44137498
43895321,39377380,106313085,43842120
43742297,40272424,105291039,44711578
44334931,40232790,103488045,43975053
44116945,40112511,104509338,43528991
44300530,41710169,103654694,43272325
44490819,40607877,103990650,43804900
43705255,39254822,103525978,44170513
43695463,40850261,103585605,43740883
44230424,39579706,103646620,44458472
43950326,39958768,104502750,43698230
44250405,40264155,104325814,43582467
44412496,39376132,103623432,43242605
44677209,40122741,104338911,43777383
44312712,39726453,104606932,43862798
43691125,40841056,104459204,43851659
43474984,39577416,104328452,43541651
43532737,40371089,103859271,43650217
44547148,40871870,104728526,44005312
43844909,40139515,104972728,43890935
43984818,40973276,104063218,44424770
43406930,40115972,105034354,44916762
43543560,39092930,104514694,43746222
44167823,39823289,104236244,43592311
45054106,39650850,104491483,43731714
44256470,39510324,103453002,43275219
44454251,40199454,105908181,44245187
43761744,39928534,104537448,43532158
44236977,39668124,104640435,44145960
44656738,39817482,103936926,43595100
43715097,39593358,104021077,43261394
43941902,40487817,104370318,43913849
43834295,39504884,106565875,43391946
43886554,39988367,104046608,43340897
44357822,39952300,104452960,44767628
44959948,39798754,104036458,44097065
43831394,39256188,103844837,43526221
44660728,40661173,104826887,44198877
44135224,40322224,104618579,44424240
44456696,39940803,103685722,43646240
43955594,39603808,104489279,43946521
43317181,40237794,103958197,43991051
44075059,40309258,104041795,44849664
44396312,40447642,103742482,43711447
43832580,40515060,105916728,44580483
45308671,40250469,104588497,43480531
43771574,39909267,104508964,44851772
43715761,40665821,103633891,43160111
43400994,41373772,103978288,44312203
44485992,40510889,103711580,43861064
43508753,39838650,103795552,43937617
44215511,39947775,104917162,44345668
43885227,39015752,104091710,43619350
44473235,39269235,104414255,44396327
43521510,39642034,104641286,43773261
43624397,39713429,104939893,43763596
43723621,39736685,104260918,43997899
