unsorted_times,reversed_times,nearly_sorted_times,sorted_times
19449276,19427913,23142977,18980078
18040464,18799505,23521389,18876521
18004274,18142667,22446335,17813014
18308842,18201947,21894765,17660310
19066171,17969954,22014784,17965527
18997514,18155758,21880108,17923092
18096502,17953878,22029341,17717724
17873669,18243927,22071681,17761770
17844550,18417186,22211367,17955664
17891735,18166976,22120892,17792860
18073842,18095454,21880961,17716897
17810567,18137276,21729776,17889348
17737380,17937807,22053257,17974808
17794323,18526597,21874396,17737024
17786017,18185401,22230622,17789069
17835187,18479115,22012448,17891400
17923211,18611289,22110117,18046907
17919942,18246090,21925154,17893931
18046816,18106506,22017580,17862947
18103770,18559899,21882784,17680530
18401008,18087983,22045390,17770278
18111168,18108543,22180013,18144331
17985157,18163961,21843905,17769097
18063763,18197495,21907143,18094970
17994742,18305216,22451996,17902571
17779088,18036560,21883463,17948471
17926046,18098129,21952418,17802214
18008251,18208994,22214742,17670951
18106220,18149661,21826618,17670496
18274376,18065355,21876383,17811453
18187369,18296053,21965117,17785538
17910543,18035235,21935497,17730451
18153850,18513967,21901618,17847719
17720872,18148400,21968151,17732242
18195749,18012916,21812232,17880678
17944029,18303255,22127920,17892414
17923028,18062290,21986032,17874771
17737070,17911271,21991833,17834461
17894523,18061380,21959738,18046305
18037427,18220772,21894081,17938281
17997875,18256824,22275199,18099815
17809380,18003022,22137918,17865447
18177968,18438029,21964733,18009055
17865858,18340326,22055105,17881471
18020903,18217226,21818693,18007025
17922288,18012416,22225304,17862895
17994878,18205197,21870144,17967612
17881866,18142294,22274312,17801903
18184494,18005738,22165276,17846913
17734119,18222687,22059114,17993605
17965963,18037270,21817696,17720495
18434901,18095960,21961557,18184266
17890189,18248242,22004222,17803638
18240885,18389125,22153302,17789298
17888710,18069507,21987598,18327731
18273089,18311368,21985755,17853967
18237066,18024731,22140051,17873905
18124296,18129431,21748701,18156740
17992433,18054294,22411900,17943253
18680480,17976173,22158456,18014626
17914568,17921914,22122304,17717624
18083546,18382625,22003247,17989339
18276248,18236798,22273595,17894124
18091184,18408418,22125063,17679310
18010027,18231434,22012430,17836665
18267744,18001859,21962806,17840342
17909869,18275705,22171874,17703666
17959546,18338241,21942668,17832035
17967655,18147940,21976541,17986419
17975169,18146625,21865193,17781943
18210855,17962262,22253315,18013679
18003959,18507240,21934521,17691752
18348419,18410104,21854970,17753890
18164405,18496759,22114193,18049920
18195409,18192140,22184498,18165528
17645201,18291215,22181357,17760059
17999353,18363080,21787818,18086930
17844884,18327019,22041414,17924794
17925832,18186424,21935710,17943004
18152071,18062937,21691709,18163402
17765896,18280797,21880780,17947709
18000430,18075090,22189659,18038095
17951527,18080792,22024012,18282084
17832347,18148779,22131920,17906371
18062311,18336187,22129394,18036271
17666388,18265185,21926355,17702742
18136264,17977296,22250128,17834739
17872863,18148023,21902473,17949106
17762372,18454187,21807176,17839291
17936420,18157127,21933115,17952023
17907612,18212741,22100652,18125018
17932862,18105222,22234865,17746808
17964304,18041601,21756612,17988632
17864330,18214196,21786854,18297211
17873165,17883912,22285913,18022470
18209437,18183766,21767972,18303497
17790394,17897745,21750612,18362072
18008149,17912285,21689163,17794163
17799346,18174220,21946592,17890477
17737730,18180126,22132552,17741892
