unsorted_times,reversed_times,nearly_sorted_times,sorted_times
122242,18153,20128,17723
111259,16795,19074,16757
164604,16721,18674,16650
85924,16731,18678,16807
82804,16587,18479,16679
89825,16674,18521,16738
82367,16664,18345,16663
82051,16511,18381,16620
81873,16558,18299,16601
82804,16596,18249,16614
82309,16658,18218,16623
84160,16669,18190,16582
81811,16646,18188,16525
99761,16615,18093,16588
84014,16610,18178,16565
83593,16632,18240,16624
83299,16722,18133,16521
83383,16582,18285,16703
83494,16706,18230,16601
83624,16620,18236,16549
83188,16651,18248,16578
83094,16609,18209,16509
83786,16620,18285,16444
83295,16648,18220,16458
83224,16693,18314,16482
92279,16584,18261,16436
82850,16716,18238,16376
82106,16670,18299,16380
82021,16588,18295,16488
81726,16626,18323,16445
82429,16703,18228,16586
82062,16638,18225,16415
82352,16563,18349,16430
82756,16625,18311,16517
82146,16483,18196,16544
82188,16554,18332,16567
84286,16682,18327,16437
90945,16599,18197,16520
85070,16636,18276,16427
83975,16717,18289,16622
84399,16544,18257,16490
84379,16580,18390,16535
84972,16660,18342,16486
84928,16560,18326,16484
85087,16588,18357,16548
84460,16688,19333,16526
84693,16614,17907,16580
84838,16660,17813,16527
93136,16730,17846,16495
87620,16782,17767,16477
82491,19637,17795,18016
82329,18924,17774,16309
82069,18351,17691,16376
82134,18704,17735,16371
81874,18775,17718,16418
81755,18652,17691,16349
81529,18308,17586,16368
81868,18636,17729,16356
81032,18739,17688,16458
81285,19010,17662,16438
90120,18724,17759,16432
82785,18622,17664,16389
82310,18182,17578,16370
82184,18815,17629,16395
81983,18923,17703,16285
83580,19282,17748,16570
82971,18684,17662,16502
82723,18984,17727,16526
82926,18885,17639,16383
82406,18519,17609,16532
82598,18404,17597,16337
82527,18832,17640,16338
92630,18726,17750,16457
84763,17934,17673,16531
84388,18072,17855,16393
84230,19245,17614,16493
84130,18501,17667,16439
83991,18584,17646,16366
85109,18371,17639,16346
84585,18834,17717,16371
84010,17961,17715,16354
84660,20120,17682,16366
84279,18200,17621,16432
84387,18575,17743,16351
93990,18612,17746,16413
84946,18456,17668,16363
85076,18870,17677,16393
84498,18133,17608,16508
84626,18796,17698,16356
83754,18631,17598,16439
83918,18840,17675,16489
83780,19176,17695,16460
84405,18603,17571,17662
84565,18818,17659,16493
84313,18744,17620,16419
43336,18485,17531,16383
16829,19005,17563,16473
16819,18595,17537,16479
16926,18047,17717,16530
18611,18551,17643,16366
