unsorted_times,reversed_times,nearly_sorted_times,sorted_times
1296445,1431581,1687384,1321396
1324319,1419302,1691953,1471744
1292890,1401547,1717916,1302536
1308174,1363963,1652032,1255990
1276761,1335793,1703270,1294560
1246362,1261860,1655110,1372828
1241201,1248422,1616562,1248419
1264397,1332544,1626178,1245236
1252286,1336566,1710804,1341419
1246128,1377948,1644567,1323275
1295077,1275365,1618131,1249838
1319507,1269638,1680596,1360079
1270294,1392931,1723951,1314233
1336241,1300227,1635788,1250643
1270707,1431891,1619886,1353341
1275374,1292807,1641949,1359123
1265908,1275219,1712412,1251533
1334865,1265113,1661788,1279293
1428139,1418135,1627506,1351126
1313414,1408167,1605165,1182574
1328346,1384170,1530576,1211173
1419106,1236241,1561528,1206244
1252784,1289322,1540609,1187514
1187327,1248907,1544683,1201948
1236276,1299553,1558264,1181005
1362320,1230513,1591448,1186840
1309821,1224671,1639710,1323322
1315452,1406721,1554421,1313078
1215167,1365963,1614534,1207014
1205158,1199206,1729041,1345861
1216393,1231687,1575793,1244709
1292738,1169342,1662856,1229293
1203590,1237822,1601900,1306438
1268900,1201205,1584139,1182121
1179171,1260532,1607287,1178692
1217031,1227339,1641220,1175253
1324852,1185525,1568405,1177673
1225108,1203770,1606219,1178413
1332207,1160961,1540910,1183559
1274157,1281746,1539849,1272435
1190157,1353486,1533042,1244171
1233583,1315065,1557899,1193024
1178584,1307024,1565625,1402165
1192676,1158009,1572923,1284535
1196679,1191560,1672274,1222615
1194288,1275536,1638270,1246641
1179442,1327598,1652225,1296880
1217713,1317568,1595131,1235065
1256979,1157127,1570089,1338768
1183614,1234510,1530299,1236409
1314507,1267708,1608604,1185277
1178385,1279026,1609769,1284422
1182959,1337958,1604693,1225523
1219895,1272273,1559125,1181049
1290449,1176959,1579022,1266411
1217615,1152945,1664001,1266845
1309075,1159840,1592500,1188357
1222787,1294403,1735478,1280120
1180689,1269960,1643967,1221117
1360542,1232678,1651429,1221725
1362501,1165125,1573585,1274962
1337512,1154576,1619907,1199860
1177254,1233034,1602154,1197792
1181119,1299568,1567960,1368537
1225823,1185380,1555048,1260001
1213484,1338801,1649895,1314228
1174697,1184339,1667787,1178814
1208821,1189415,1571357,1187738
1186920,1198651,1529174,1300291
1200248,1159630,1558923,1184512
1332666,1217115,1572959,1189506
1213562,1236330,1697237,1242680
1235865,1257945,1552048,1269673
1264012,1181858,1579344,1185129
1295912,1170515,1551150,1219007
1303075,1167858,1639053,1253703
1181089,1193476,1588331,1252560
1188042,1197613,1553120,1326027
1191636,1161465,1551293,1201177
1183269,1281242,1709975,1224870
1296874,1289005,1570757,1259842
1190302,1239738,1627130,1415146
1257866,1198068,1583368,1241345
1421250,1160831,1546323,1259144
1196460,1230850,1638255,1325988
1181610,1261355,1537408,1179062
1184338,1304098,1564936,1234512
1241175,1207827,1633155,1268071
1180789,1215377,1541493,1185677
1223141,1253124,1583310,1183499
1440632,1207755,1573292,1184201
1271810,1266175,1569850,1212949
1195101,1173987,1687370,1311864
1219947,1210654,1553252,1311991
1217546,1163644,1567221,1213243
1189731,1170455,1657404,1296820
1203897,1189104,1584662,1279707
1260673,1159541,1595451,1357505
1264392,1166256,1598184,1279216
1217594,1307188,1569953,1238399
