unsorted_times,reversed_times,nearly_sorted_times,sorted_times
13777221,13233441,18078650,13111164
12890545,12976287,17480204,12761629
13125535,12234278,17119479,13012362
12886320,12578936,17255543,13445927
12751710,12168779,16890322,12506113
13017271,12385064,17353295,12734518
12857608,12149862,16923185,12512299
13078162,12330404,16771383,12838228
12970331,12519291,16826177,12484881
12752027,12367974,16828790,12591143
12651424,12372583,17274041,12672381
12659736,12257132,17239366,12658801
12742429,12573870,17525185,12534142
12709540,12157288,17053587,13089499
12856736,12114684,17161356,12438473
12896105,12648210,17135640,12552234
12939985,12539613,16739192,12643312
13019738,12111335,17188758,12642761
12939464,12369667,17302092,12551706
12917801,12557414,16872246,12872490
12844478,12387614,17248301,12841854
12849106,12252615,17104185,12659078
12819388,12490285,17861960,12488856
13218436,12164015,16837295,12661119
12726880,12162696,16757905,12490774
12889234,12283396,16730454,13105914
12769706,12672406,17291799,12608264
12650479,12311858,17114825,12854805
13129708,12365360,16881628,12696694
12640371,12354480,16785274,12552449
12746127,12377081,16921287,12789592
12858358,12343866,16863908,12774665
12789818,12331430,16867282,12478696
12977914,12420987,16890447,12493376
12742122,12281028,16963918,12617661
12628650,12424562,16933383,12559483
12664170,12865604,17381490,12478504
12878324,12422194,16704911,12627607
12942243,12219998,17067360,12560683
12790869,12759803,16940336,12418260
12705369,12367392,17042726,12586544
12788904,12205218,16869392,12813695
12806268,12503011,16890619,12543046
12645737,12451355,16839757,12712955
12594373,12242484,17020539,12509189
12812561,12290455,17033389,12619388
12576564,12343504,16912372,12697514
12626053,12294387,16872058,12991243
12976988,12221052,16940557,12687234
12699138,12437681,16794952,12610470
12551928,12172622,16968561,12808253
12540298,12515717,16879703,12739269
12579728,12364680,16732848,12823916
13499361,12485733,16908918,13011183
13355155,12289900,16837815,13052372
12735716,12385858,16881449,12964326
13140730,12205327,17304616,12519346
13187472,12080915,16928511,12755012
12690101,12212047,16975043,12503470
12680482,12604732,17180676,12571466
12500946,12252142,17170699,12582737
12696268,12504740,17634255,12585944
12811444,12380272,17366278,12635957
12651051,12750265,17041440,12818344
13272366,12307353,16845547,13095175
12853485,12207481,16691468,12487603
12731263,12238429,16813953,12715871
12869743,12110904,17107500,12915960
12642897,12572951,17178193,12500750
12549168,12353383,16946674,12561419
12597522,12339509,17005553,12880901
12805237,12667561,17665170,12599943
12610261,12228475,17380063,12819076
12611172,12741913,17215266,12829618
12682786,12635474,16827663,12932832
12765441,12408731,16916972,12594095
12947924,12558091,17026464,12635095
13184378,12347484,17212404,12580831
12722378,12675562,16745067,12503285
12752849,12304986,16775777,12645178
13075610,12138956,17035134,12449010
12776261,12102962,17097311,12655779
13119674,12706136,16749007,12603949
12777069,12512741,16769741,12765381
12761139,12419166,17032222,12685086
13149409,12617209,16712883,12675902
12727857,12898436,16959984,13109751
12600168,12335657,17311505,12638075
12586482,12680781,17043566,12497795
12911918,13116623,17034729,12805874
13000748,13270932,16764661,12830156
12659589,13135960,16824268,12660041
12650288,13052968,16811485,12561151
12861168,12990983,16998032,12480264
12573873,12898800,16833487,12561677
13066096,12392687,17133807,12650403
12872163,12156126,16718443,12633826
12821756,12363123,17265048,12630204
12577800,12507096,16932732,12863891
12591903,12536064,16658182,12511589
