unsorted_times,reversed_times,nearly_sorted_times,sorted_times
183874,179622,202347,175736
180694,176836,207084,177486
176026,173583,220409,179304
178847,172514,221050,185883
177131,172114,219703,184276
176180,171666,218704,186514
176070,174401,206916,186878
175331,172354,195561,183383
175570,172213,196778,174640
175906,174074,196966,171273
172648,173243,195852,171356
172428,175199,198759,172600
171863,180514,198306,171444
171722,183414,199549,173534
172096,189434,200448,172632
182027,188511,199628,172098
183548,188976,200144,172452
184439,188923,194282,173801
183098,183565,193486,172122
185395,182463,193184,179014
185005,182483,193474,184024
173100,182235,198069,185456
171581,182476,200258,185144
172075,173549,201082,185942
172554,172460,200287,185736
172728,172263,201504,174116
175632,172451,205078,171746
171349,172803,205015,171697
171398,173615,205060,171468
170988,173440,206496,171214
171718,171820,204258,173109
171270,171287,210842,173621
177979,171224,206885,172019
174744,181020,205521,172758
172094,200680,203778,172657
171999,198319,206332,172577
181298,200274,199816,179070
181528,199457,194009,184900
183464,197451,193566,184984
180907,189883,194604,186054
181129,176090,194933,184544
181159,176451,199595,185119
181307,176791,198999,175830
186614,176596,199448,172442
174067,177723,199093,172710
173435,171220,198652,172792
173764,171303,201481,173018
173247,179436,195705,175021
173752,179478,196937,182917
176298,179779,196219,184786
173364,179312,196345,196858
173063,175553,198120,195875
173036,175388,196089,193247
173411,175487,195582,202880
173762,175478,195947,202898
175269,175388,194765,202953
173366,175451,197231,199438
172152,172629,196021,200500
172851,172987,195769,173666
172226,172545,195529,173442
174162,171892,196172,174036
171769,173815,197115,173985
172095,173663,194471,173740
171918,172419,193900,175420
172001,172141,194221,172437
172379,172335,196128,173607
174337,172224,198309,172997
181091,174501,193617,173213
181350,172589,194358,173176
195795,174288,193759,175141
196988,172162,194086,173346
199564,172288,196049,173861
171106,172730,195297,172101
172114,175246,195562,173172
171008,172585,194819,172865
170604,171995,195092,173875
170622,172047,194533,170851
178403,172087,197375,171179
190884,171970,193943,171367
190798,175516,194176,170783
190071,174122,194353,171393
190375,173923,194161,173481
191050,174189,197562,171095
170306,174014,196045,171180
170080,174132,196082,171371
170172,174639,196046,171289
169740,172050,195913,172990
170417,181272,195636,189899
173125,183866,192763,200201
181310,182833,193796,200719
181128,182101,193442,200647
180813,172648,193223,203094
180727,172468,199671,178379
180583,172677,202363,175434
182959,172569,205863,175207
181532,171805,204893,174429
181423,173932,206532,174569
181291,171796,200556,181279
181269,171620,194370,187164
183246,171325,196736,189105
