unsorted_times,reversed_times,nearly_sorted_times,sorted_times
594134,190167,202716,179762
661574,193547,193813,173709
665869,184816,197655,177580
701974,170573,195765,172394
738206,170588,195463,172421
761250,173669,197253,172930
706982,172271,202767,174269
645974,172160,205063,172988
566278,178262,210132,172445
546167,185676,209547,173344
507828,189016,206073,173902
477249,185733,206829,175563
461527,184043,197106,175639
473835,188382,199836,175113
410922,176504,201504,174644
416546,177080,200184,175972
286248,176500,196737,175042
274971,175577,184075,180050
259159,175708,183656,187459
260076,189008,184937,184474
252518,195715,187120,184105
252488,193453,187846,186699
252003,195115,200236,186048
294691,193543,197716,172092
292652,190302,197153,171819
298524,173075,197436,172190
302215,172556,197880,172081
303045,173101,188628,172028
332647,172809,185434,174156
343953,173032,183662,172126
351668,179220,182023,172189
379142,184872,183002,172005
401113,188252,188879,174641
410678,186999,193134,172655
397249,183372,193056,175504
380387,184165,194394,174369
428361,174664,194642,174007
309919,173140,195494,174446
187366,172744,191141,174239
185693,173279,192813,174381
193698,173125,193116,175728
186861,176067,193983,173506
182637,175999,196514,173518
178972,175882,182878,173329
178033,175401,182606,173530
178014,175370,182363,173535
178340,175812,181746,176829
179213,185716,182163,175236
173918,174153,189944,175223
174210,173690,195769,175586
173543,174288,193137,175113
173735,173341,191253,176515
173832,175986,194719,174822
179789,176318,199865,174647
181502,176494,197730,174178
181739,176822,197387,174473
174867,176327,198987,175096
174926,176721,195052,184719
174066,183397,195050,186694
190659,193021,191326,189024
195412,190601,192328,185623
195618,190765,191666,189129
196239,194227,190555,187739
194492,186976,190084,184973
181240,178627,178571,183888
174823,177753,178772,182650
174285,177962,179078,182619
174045,177710,178888,182748
173675,177595,178603,184057
175543,179228,181214,175343
174428,176372,180210,175241
174997,176031,180530,176001
174577,175798,180060,175700
174759,176736,180060,179402
174577,177478,182757,187520
175694,172890,193028,184950
173263,172628,195614,188049
173135,172642,193479,183682
172948,172760,192827,184539
173280,172830,195878,186100
172902,176177,180311,186233
180973,184324,180063,187890
184960,185609,180172,186614
184990,185551,179245,185859
193137,184550,180000,193814
193755,184723,187194,193071
190629,189222,197068,194094
173587,187630,197115,194279
173127,186881,199312,193001
173498,190222,202387,191683
173098,185727,201933,171154
173236,181783,202632,170984
179165,172432,197203,171071
181588,172245,193780,170907
186110,171895,195302,170511
192684,171649,193981,178010
191511,171946,191421,181797
185783,180876,189695,182206
174296,187091,195533,186403
173910,187491,193373,185642
