unsorted_times,reversed_times,nearly_sorted_times,sorted_times
13837433,13404042,18436423,13883757
13077586,13009507,18373324,13649390
13106457,12969545,18008083,13205079
13190881,12648465,17311744,13053905
13136052,13105136,17342375,13097689
13225045,12770815,17403292,13154410
13113347,12875783,17245359,13108311
12906888,12464462,17398628,12944357
13097579,12325812,16997808,13291972
12887016,12510041,17509447,13063631
13007762,12958525,17505226,13046376
12808700,12691013,17216926,13410720
12940552,12551627,17336277,13130218
12941611,12789206,17260518,13307530
13328249,13350190,17161083,13078669
13073436,12899660,17435598,13284603
13199638,12921551,17051697,13324547
13243654,13008537,17726283,13527530
13171626,12663429,17306418,13243654
13036850,12341699,17757763,12825251
13110016,12801013,17451940,13053614
12918892,12566928,17452795,13063105
13075494,12964450,17215039,13115834
13126826,12596538,17525457,12823534
13032865,12595016,17113215,12898081
12935826,12885080,17637466,13027054
12856288,12706290,17240361,13130981
13147577,12919854,17419784,13063268
13092243,12647882,17403847,13157496
13137563,12728566,17182148,12899575
12942598,12860772,17595641,13130254
12787219,12599277,17289938,12810749
12881996,12715333,17481904,13126616
13057357,12527409,17204823,13282293
13040804,12977375,17290750,13055666
13083247,12382823,17309751,13021923
13003480,12585808,17415015,12986529
13044651,12693763,17289985,12978319
12883398,12403513,17269452,12916666
12992115,12716431,17174034,13144169
13065408,12382392,17666594,13079619
13311955,12881542,17261325,13311078
13026130,12696653,17114657,13299361
12689011,12805867,17058731,13151391
13147972,12682719,17171778,13049281
13357756,12869169,17397777,13150638
13114118,12706441,17217733,13252070
12861918,12475638,17255328,12973517
12939347,12923209,17494443,13019876
13175584,12602968,17227762,13271047
12903219,12973891,17492147,12838895
13106341,12663814,17292653,13220948
12913973,12834878,17303441,13069850
12970704,12809243,17338785,12869842
13221940,13086867,17228772,13149963
12935837,12924664,17514535,13222335
12909200,12802564,17091711,12841615
13425478,12777941,17439666,13084371
12985396,12478201,17124533,13012731
13332917,12534767,17254300,12873558
12884921,12777888,17384936,12774206
13124074,12832286,17299985,12972125
13037302,12575419,17028213,12898992
13061338,12425655,17245573,12985491
13124851,12616598,17823377,13437595
13152957,12526377,17626537,13084644
13283210,12699890,17199888,13042311
12987736,12573841,17282870,12944142
12823652,12408663,17232881,13231145
12879257,12780230,17286942,13247089
13293508,12491221,17183561,13031382
13194598,12878263,17506662,13143092
13429247,12405729,17452137,12936538
12881083,12568112,17220135,13162329
13290141,12571646,17238674,13163523
12925012,13039760,17507238,13208634
12813519,12646553,17096854,13434590
13049596,13128557,17152074,13192803
12780882,12884439,17095789,12912216
13203936,12591946,17266295,12974355
12970532,12611428,17211217,12781037
12610760,12616700,17615504,12694567
12750112,12838448,17061405,13044952
13065565,12906674,17590996,13299714
13051989,12902222,17022382,12826252
12780361,12950288,17161437,13301240
13414719,12928400,17443023,13085051
13001794,12979293,17590365,13333635
12859463,13223658,17358736,13070345
12876601,12849126,17015685,13113877
12978917,12807819,17214389,13359588
12812268,12679887,17315332,12935165
12839412,12624387,17351365,13141401
13017635,12754555,17117236,13192299
13084412,12415223,17589299,13315624
12803215,12938250,17298807,13416968
12926761,13028544,17418344,13168821
13059519,12590634,17225772,13174086
12843992,12451346,17544493,13063538
12908433,12993401,17062585,13320123
