unsorted_times,reversed_times,nearly_sorted_times,sorted_times
19016,18578,21425,12425
16512,17553,20130,11520
16818,17681,20326,11466
18530,17871,20418,11322
17046,17802,20565,11303
17414,18079,20253,11270
17234,17934,20474,11139
17244,17949,20172,11203
17871,18018,20441,11126
18022,18053,20648,11161
18121,17801,20301,11279
18086,17857,20457,11229
18188,17609,20460,11227
18134,17883,20362,11278
18232,17747,20454,11171
18059,17898,20461,11219
18082,17753,20587,11227
17963,17964,20404,11170
17958,17487,20475,11238
18155,17723,20263,11192
18004,17555,20462,11185
18391,17663,20162,11186
18266,17565,20292,11170
18127,17416,20347,11228
18022,17963,20454,11126
18299,17958,20230,11138
18221,17815,20332,11168
18181,17911,20671,11169
17934,18095,20287,11177
18177,17832,20292,11174
17993,17532,20411,11171
18217,17532,20642,11127
18319,17265,20312,11175
18169,18091,21966,11157
18226,17741,20026,11144
17926,17668,20203,11147
17994,17639,20362,11162
18102,17477,20126,11214
18352,17667,20248,15175
17934,17494,20341,11641
18070,17600,20322,11726
18265,17858,20284,11595
18074,17851,20166,11681
18328,18101,20242,11635
18057,17504,19980,11641
18215,20466,20042,11733
18289,17823,20194,11520
18170,17874,20311,11534
18093,17553,20433,11583
18166,17760,20239,11499
18180,17774,20090,11504
21330,17767,19993,11513
18316,18068,20133,11475
18349,18004,20049,11501
18180,17969,20064,11535
18217,17813,20072,11465
18187,17828,20119,11545
18180,17800,20478,11495
18425,17854,20168,11457
18091,17806,20205,11516
18162,17949,20173,11514
18276,17972,20344,11485
18047,17945,20005,11547
18208,17796,20072,11439
18214,17998,20120,11490
18322,17876,20190,11439
18009,17679,20071,11518
17961,17638,20386,11516
18202,17689,20248,11453
18129,18107,20373,11475
18041,17963,20379,12716
18127,17935,20092,11493
18209,17835,20284,11480
18282,17901,19953,11505
18212,17991,20275,11527
18232,17857,19992,11544
18100,17774,20338,11450
18262,17836,20070,11432
18060,17761,20231,11456
18262,17852,20021,11456
18121,17893,19954,11512
18346,17900,20210,11476
18349,17822,20124,11497
18187,17964,117189,11494
18455,17830,13915,11456
18340,17868,13332,11433
18121,17860,13359,11462
18258,17931,13151,11529
18212,17816,13081,11496
18293,17754,13037,11513
18247,17830,12979,11499
18083,17774,12983,11557
18124,17925,12966,11538
18123,17905,12997,11494
18364,17979,12970,11584
18290,18057,12896,11459
18342,17900,12876,11529
18352,18062,12877,11481
18151,17879,12863,11532
18162,17904,12867,11491
