unsorted_times,reversed_times,nearly_sorted_times,sorted_times
176690,183420,147713,120433
167148,137033,149342,119284
165891,137191,143287,118367
170644,137380,141588,118546
167028,139879,141396,118481
166860,113664,143533,118065
167202,113683,141407,117811
167425,114916,140072,117783
166790,113491,145775,117730
172089,113634,158637,115518
167556,113381,158562,115363
167006,113294,157964,115115
167043,113440,147147,116197
167359,115280,139068,115485
167325,113576,139053,114862
169682,113549,138927,114519
167923,113879,139169,116000
167700,115170,139348,118364
177662,114540,139988,124767
177411,113851,145631,124566
180543,114000,149158,124644
178029,113619,149063,124991
178088,118631,147042,124775
178979,124942,146342,124790
179136,124644,146352,127217
179056,114547,145472,117711
180528,114588,140491,114171
179191,115297,137623,114141
178698,115083,137724,114163
179423,115197,137956,113980
178812,116823,137864,114132
179088,114014,137854,113982
180153,113645,137758,114055
177436,114176,183664,121638
177705,114287,171265,120760
178696,114064,144828,120551
178413,114063,143989,121176
180347,114599,145419,121939
179110,114653,143896,121996
179291,116759,145760,121099
178864,114920,140341,120554
179101,114641,140804,121166
179183,115214,140330,117370
180921,115394,140207,116691
178422,115832,139721,116495
178474,115685,139653,117491
178661,115755,141853,116258
178812,115113,139081,116506
180037,117937,138976,116546
179820,115282,138466,116855
179066,114963,138588,116771
179204,114661,137809,114091
179149,114813,137545,113937
179115,115547,137409,113609
188235,115307,142264,113048
180225,115428,139719,113216
179819,119405,140108,113140
179344,116777,140256,113004
180241,115341,140134,113331
187413,115203,139883,121831
116447,126789,140142,139851
114429,120017,142181,140892
114386,120419,140194,113743
114800,120137,140009,113392
114618,119998,140227,113332
114713,116002,139790,113320
114735,113529,140168,113773
114438,113066,140926,117774
118470,113257,148722,117836
114379,113609,144680,117779
114961,113480,145065,117760
114855,113259,145234,117902
114489,113804,145037,118047
116195,115513,144700,117892
116410,113525,145936,117988
116239,113582,150768,119201
116103,113823,144957,114327
124498,113302,144192,114119
124763,114052,144857,114388
125508,114065,148671,114051
126116,113221,149480,113918
125573,113361,149808,114555
128103,115441,158670,114134
128142,113807,162101,113698
127507,114169,170380,120226
131614,114086,170940,121142
128651,114450,173536,120092
135833,114504,176400,121463
137114,114218,178198,124698
138574,114982,177196,123868
165026,115265,176319,123713
148518,116043,175683,123147
154060,113528,175868,124129
158596,113684,164380,120393
157758,113899,160746,117424
157901,114673,158849,115903
156997,113679,153923,116294
157838,113760,152682,115959
168599,113856,154320,115855
166680,113966,152665,115972
