unsorted_times,reversed_times,nearly_sorted_times,sorted_times
141277285,131460820,189521030,141222016
138197205,130306999,187057106,139114591
139516797,129950718,187141508,138804126
138190142,130066211,187217931,138462588
138982500,129836705,186404539,138714745
139137119,129077899,185870490,139569361
139001524,129327347,187647400,139343212
139241788,129326435,186086101,139594437
138188026,130703072,186127670,138908185
139035338,130285663,186757110,138900160
138918782,129733487,186754580,138610920
138793345,129378730,185769326,138171620
138892190,129771244,186878935,140136161
139289754,130091564,186992362,137650680
138293400,129624420,185565119,139064077
138585491,128711003,190997975,139503928
138635776,130509455,187013051,138254925
137832485,129796975,186397330,138255794
138977675,129150895,186824962,139296325
139099677,129477701,188529058,138997250
138613583,129779668,186002471,139858837
138970324,130010705,186467582,139162483
137952300,129527546,186187734,139266174
139762312,129393563,186847606,137977714
138348826,130745862,186930997,138715306
139318333,130620313,185729127,138770658
138600432,130293103,186486265,138523120
139510009,128394361,185629229,138234444
138769325,129667315,186891209,139439999
139128475,130231950,186300362,139767828
139137226,128647694,187498449,139203954
137734582,129944808,186457946,138616609
138465103,128883998,185981038,139597633
139743587,130726445,186637185,140417235
138651114,131090738,187284786,139263838
138908986,130395027,185731331,138788251
138648718,129998922,187940958,138263498
138893504,130641872,187094722,139453897
140189826,129475087,186593341,139056301
138349934,129564851,185887506,139943459
139014106,129789003,186509251,138097346
138600440,130142782,187623102,138629185
140117488,130270926,186975276,139453317
138211728,129712761,186993871,139677380
139503702,129844029,185725401,138918592
138755548,129107025,186291962,137864170
139254147,130559526,185823426,139697159
139096560,129915031,187338482,138584260
140353183,130238181,186960749,138554418
138621499,129527680,186593610,138456824
138986470,129598727,186457136,137848769
138671168,130100707,185873025,139662334
139844564,130800419,187342394,139321956
138137984,130556548,187485670,140548050
139192252,129167740,186952389,138588505
138019450,130126533,186267081,138496317
138280959,129095902,187395476,138440361
138447260,130455893,187451249,139597917
138547358,129805290,187852421,138409054
139020276,129774204,186744877,138774605
138634200,129197995,187945714,138744468
139481859,129738095,187531625,138288862
138502748,129126162,187057414,139036991
139841804,129885145,188120746,139415789
139281283,129731148,185945617,139780935
138744990,129357107,187193901,139139167
139140112,129405339,187335688,138521463
138693528,129703517,186453854,139638343
140408778,130275608,186114064,138397427
138532830,130500557,186655475,138388541
138863713,130836174,186908292,138780152
138945685,130204023,188351263,140883406
140265212,129295202,186942213,138871748
138583841,129506605,186580714,139233949
139579887,129429595,187064649,138546745
138524835,128782383,186865032,139424168
139062128,129349563,186938108,139336522
139042260,130205320,186538348,138913525
138913076,131634343,187070999,138960525
138441056,130115573,187757230,139963432
140431714,130566947,187363298,138562505
139142779,130876223,186823608,139077332
140727078,129878257,186523378,138883944
141361655,129419204,188430222,138970756
138890860,129507439,186071645,138895859
138703226,130441812,186584639,138661767
139060632,130191054,186895821,138547600
137898585,130213379,188369846,138662172
139218876,129256816,187238920,138703438
140460212,130379773,187347440,138598293
138548481,131298771,186844156,139285576
139814778,130325626,185650478,139296217
140117656,129689115,187373500,137923065
139203406,129814608,187117608,138948086
138554536,130846231,187222427,138826407
139934880,130664785,186582263,138865665
138672111,130822319,191926739,139048116
137835101,129211142,186037590,137987012
138954113,129745144,187035011,139065932
139421496,129973463,186782017,138761032
