unsorted_times,reversed_times,nearly_sorted_times,sorted_times
1827867,1972799,2299040,1874897
1833740,1821174,2320192,1838596
1841148,1804192,2135259,1845847
1903471,1815091,2294476,1793886
1875587,1894694,2197994,1786628
1805971,1853884,2154002,1786837
2040361,1849148,2167002,1854111
1810958,2007568,2125226,1849811
1918412,1936435,2220145,1789164
1857574,1812260,2216105,1794281
1882432,1886652,2174370,1788312
1800318,1861792,2325657,1901055
1801313,1828358,2132684,1810858
1797469,1820334,2210452,1794448
1719926,2010546,2031021,1839174
1729732,1828351,2051181,1821174
1726303,1936291,2136975,1903799
1734096,1785036,2072071,1930283
1792374,1705403,2128070,1859036
1877412,1713271,2231633,1780688
1756196,1718566,2191082,1701968
1796051,1800624,2085984,1714852
1765071,1790492,2039177,1712251
1845381,1906006,2089132,1746491
1749294,1789835,2094632,1778212
1771756,1752912,2133160,1710035
1764869,1713673,2108639,1743583
1706993,1766912,2098951,1762120
1701325,1804353,2107835,1744346
1719938,1753703,2042107,1815992
1705532,1728577,2061259,1822728
1764958,1738747,2123068,1863594
1719354,1697879,2057524,1723120
1707924,1711613,2053776,1795759
1701493,1715024,2037728,1700467
1703195,1788228,2027203,1741022
1699271,1745552,2123763,1754569
1782507,1783101,2052227,1699742
1695132,1790762,2030128,1774490
1756214,1850738,2018926,1806949
1721803,1724588,2084355,1838211
1694488,1735956,2106047,1703168
1733788,1734494,2091859,1691650
1783658,1758920,2194217,1714200
1799798,1745775,2030703,1695452
1750503,1871172,2068334,1781447
1702432,1881754,2117053,1745960
1714642,1924474,2153098,1765934
1707784,1872994,2127509,1745225
1706077,1739556,2112121,1731678
1818007,1790492,2065883,1717695
1887943,1778158,2076625,1766671
1742063,1749772,2081131,1717658
1770961,1790536,2122434,1761150
1740095,1791109,2175696,1940952
1698277,1729469,2085348,1708399
1706707,1822297,2075323,1713726
1693302,1718175,2047364,1743213
1701292,1829333,2159523,1696196
1767362,1781002,2082987,1818135
1768956,1706433,2108704,1726942
1728796,1709264,2048910,1768283
1765480,1707577,2158715,1824416
1771395,1740520,2082176,1795568
1783116,1748658,2134207,1764621
1771472,1713848,2142796,1827340
1787507,1717380,2078077,1748412
1831602,1755798,2055522,1862102
1707919,1767954,2035235,1778009
1703711,1764736,2059032,1803970
1787929,1705512,2037215,1803473
1776772,1750072,2052277,1823812
1786195,1914353,2049181,1693787
1756272,1714768,2074758,1710964
1786951,1713677,2067844,1756937
1863480,1713724,2098118,1724689
1731418,1719182,2101598,1705768
1834522,1749031,2019150,1771569
1718856,1844573,2021637,1842344
1701454,1711598,2116266,1699176
1848578,1846493,2015557,1788747
1804739,1711343,2124240,1769266
1713166,1736923,2017402,1819670
1758919,1725630,2031189,1860871
1750217,1738998,2030674,1891535
1697740,1803079,2065813,1764212
1725662,1807844,2026750,1795331
1724447,1742023,2057298,1737630
1707220,1732024,2037939,1716666
1732798,1771226,2135412,1755354
1701835,1792688,2064754,1769476
1737334,1708811,2079499,1706320
1762836,1835002,2027252,1735790
1831166,1769164,2114469,1880451
1827411,1901096,2029980,1842784
1710155,1725716,2067867,1733013
1706766,1779772,2089838,1813136
1721460,1721745,2013967,1706528
1696057,1716596,2162816,1774207
1698749,1726541,2117536,1782898
