unsorted_times,reversed_times,nearly_sorted_times,sorted_times
13610033,13186640,18097685,13882922
13271615,12743035,17611158,13384986
13237334,12498933,16935333,12856262
12796469,12177502,16887835,12659689
13065192,12201542,17026716,12391305
12671701,12360784,17226520,12316244
12787745,12824741,17213212,12384580
13002478,12457959,16930263,12804363
12801494,12432325,16974669,12861404
12863103,12154278,16813022,12325720
13022253,12126390,17016431,12512781
12862756,12489859,16896085,13214364
12310807,12180259,16816424,12655116
12360547,12172648,16697268,12740646
12391620,12134635,17239890,12760752
12283192,13006355,17243452,12578109
12454403,13262521,17075472,12553120
12329226,12239243,17522885,12514327
13106804,12235643,16738459,12609126
12528224,12213624,16872144,12597480
12352557,12206735,17412580,12576194
12357780,12759321,16962858,12390411
12596791,12410011,16633525,12636104
12507149,12429726,17817682,12881102
12593738,12112902,16774010,12518807
12522692,11913848,17420267,12833923
12640136,12277128,16981296,12869436
12449636,12874713,16868986,12448467
12316355,12866720,16932964,12465822
12729199,12124307,17116524,12875997
12624986,12192126,16924581,12607588
12391847,12049604,17116998,13181933
13036026,12211898,17596643,12393563
12591356,12448563,17784113,12319050
12514474,12215226,16970299,12633476
12883470,12574283,17002433,12460988
12433904,13058524,16639328,12947122
12509619,12367761,16973563,12325810
12533794,12287807,17211172,12469678
12365987,13357298,16669578,12961439
12741645,12436130,16935194,13126199
12599506,12192758,17021002,12647022
12505953,12077407,17121426,13137219
12432030,12538035,17144465,12461701
12838298,12555435,16886283,12775565
12608701,12403183,17010728,12623190
12877926,12061437,16894949,12333873
12727808,12022685,16802714,12785898
12208633,12584983,17355079,12958226
12737981,12453585,16798755,13139506
12583212,12174464,16944176,12655910
12664084,12054837,17037558,12525202
12809679,12234774,17028796,12844905
12811476,12893876,17016561,12734449
12671429,12060154,16719507,12865544
12468782,11973688,16801734,12458489
12822745,12086679,16821683,12996758
12434734,12609115,17199967,12801097
12659775,12083166,17300302,12556057
13501615,12244320,16804892,12381171
12752221,12120241,17013425,12508430
13129733,12892677,17067805,12565296
12656611,12172288,16946133,12654528
12583657,12132643,17158815,12489687
12373757,11989914,17037800,12296430
12504978,12663916,16847631,12471965
12407985,12452346,16709656,12591500
12603251,12038978,17081664,12516392
12749854,12456820,16953938,12462492
12289974,12206899,16729549,12440782
12415838,12610133,17394597,12696056
12583411,12314239,16880118,12828315
12695098,12667332,16899790,12387897
12572276,12390251,17071587,12777646
12456298,11941628,16756128,12252508
12816014,12446069,17515184,12779470
12403427,12128696,17106441,12544579
12957658,12591575,16878371,12548139
12298461,11953031,16974115,12302756
12942248,12413165,17083536,12463348
12653141,12142820,17219819,12964583
12328564,12340227,16683718,12968817
12916560,12459922,16834461,12479417
12766224,12068637,17094140,12360688
12571452,12400692,16870483,13160898
12709126,12513625,17141415,12540521
12322951,12483702,17221418,12428670
12344594,12452506,17095028,12811381
12914850,12158154,17184794,12376429
12796014,12462066,17106291,12580503
12231935,12376107,16762196,12383160
12720725,12397831,17154717,13113318
13117743,12426596,16762458,12833520
12501786,12280159,17421922,12635723
12773831,12082601,16721202,12644442
13397592,12115018,16680828,12330136
12627733,12348686,17218218,12332322
12518555,12101335,17164599,12948429
12668382,12516223,16990080,12480326
12584075,12158116,16721701,12632044
