unsorted_times,reversed_times,nearly_sorted_times,sorted_times
38406,28381,53863,28324
37705,32323,52257,27896
37579,27717,50474,27852
37685,27641,49601,27850
37623,27220,51849,27820
37621,27305,49821,27584
37630,27268,48971,32115
37633,27238,49285,27563
37606,27315,48886,27731
37619,27619,48855,27758
37626,27298,48685,27678
37626,27340,48299,27464
37612,27334,48249,27441
37604,27314,48363,27730
37615,27286,48242,27396
37626,27313,47916,27796
37622,31655,48476,27478
37609,27195,48162,27840
37602,27172,48108,27820
37625,27285,47714,27563
37626,27292,47836,27826
37620,30004,47877,27527
37609,27424,47729,27770
37609,27635,47586,27584
37621,27477,47449,27769
39996,27567,48829,27646
37617,27400,46844,27622
37631,27560,46816,27420
37618,27332,46678,27800
37632,27454,47480,27538
37620,27411,47379,27687
37608,27441,47127,27526
37608,27476,47045,27748
37614,27483,46791,30180
37626,27561,47135,27743
37618,27315,46756,27740
37608,27454,46979,27461
37611,27520,46818,27459
37622,27544,46656,27749
37627,27446,45914,27460
37617,27444,46363,27665
37604,27576,46521,27675
37611,27398,46557,27644
37626,27373,46966,27456
37627,27370,46940,27655
37622,27545,46784,27498
37604,27477,48584,27727
37617,27572,45624,27459
37629,27364,45833,27739
37625,27356,45800,27454
37608,27425,45782,27657
39073,27522,45822,27648
37527,27468,45809,27275
37543,27504,45877,27461
37617,27357,46189,27614
37606,27480,45247,27464
37623,27344,45505,27596
37625,29420,45058,27467
37624,27357,46923,27616
37613,27457,45159,27262
37606,27439,45822,27269
37614,27446,45085,27217
37626,27452,45643,27669
37622,27277,45045,27202
37611,27398,45442,27287
37635,27372,45517,27489
37619,27538,45486,27314
37632,27512,44934,27604
37620,27507,48282,27314
37608,27690,47173,29322
37610,27546,46520,27622
37623,27679,46632,27753
37626,27437,46459,27655
37618,27674,46591,27742
37604,27280,46762,27447
37613,27613,46876,27729
37626,27434,46917,27435
37627,27764,46948,27794
38958,27404,46846,28835
37601,27832,46939,27447
37618,27314,46942,27684
37628,27371,46749,27572
37624,27454,46744,27765
37606,27349,46788,27388
37608,27367,46697,27495
37621,27415,47143,27623
37627,27452,47252,27378
37616,27441,46940,27481
37606,27428,47058,27655
37611,27305,50345,27484
37623,27453,46727,27615
37624,27332,46304,27727
37614,27289,46921,27453
37606,29160,47315,27435
37614,27451,46960,27661
37625,27407,47066,27391
37623,27583,46906,27784
37612,27483,46868,27488
37604,27479,46852,27874
37617,27343,46828,27436
