unsorted_times,reversed_times,nearly_sorted_times,sorted_times
14958,11374,11163,10117
10044,8048,9240,7552
9530,7373,7951,7705
9410,7548,8056,7487
8995,7392,7741,7225
9209,7960,15079,7509
8736,7209,10010,7292
69407,7154,7968,7156
9661,7193,7573,7152
7917,7454,8087,7345
7503,7302,7467,7222
7629,7213,7568,7250
7237,7295,7426,7203
7246,7263,7463,7256
7357,9431,7442,7182
7319,7214,7544,7231
7186,7286,7427,7208
7455,7362,7543,7398
7357,7223,7436,7206
7226,7256,7485,7204
7173,7204,7448,7191
7208,7276,7353,7202
7234,7175,7464,7153
7266,7306,7428,7252
7469,7229,7493,7206
7225,7427,7392,15106
7205,7224,7469,7961
20605,7235,7487,7309
9329,7315,7383,7276
7566,7212,7499,7460
7474,7322,7449,7317
7329,7318,7376,7276
7435,7193,7468,7319
7352,7453,7410,7529
7384,7374,7370,8358
7305,7164,7457,8475
7369,7253,7312,8282
7322,7365,7404,7278
7204,7357,7302,7391
7515,7242,7382,7167
7281,7258,7415,8534
7269,7318,7333,7184
7267,7230,7463,7327
7245,7221,7339,7513
7399,7287,7352,7194
7539,7519,7448,7214
7293,7244,7339,7155
7321,7244,7399,7253
7309,7214,7441,7223
7225,7393,7323,7202
7313,7202,7374,7175
7243,7248,7382,7422
7300,7243,7288,7260
7258,7325,7436,7190
7313,7306,7284,7386
7199,7193,7400,7378
7433,7168,7355,7163
7259,7379,7381,7293
7277,7271,7375,8334
7213,7251,7301,7262
7370,7175,7353,7274
7401,7262,7338,7526
7322,7285,7418,8805
7379,7187,7300,7315
7288,7369,7404,7354
10227,7874,7828,7464
7671,7407,7294,7310
7353,7317,7384,7291
7374,7290,7430,7289
7369,7256,7279,7311
7323,7245,7261,7249
7401,7278,7446,7201
7292,7272,7303,7193
7300,7234,7296,7122
7391,7269,7355,7191
7331,7372,7360,7329
7331,7222,7354,7216
7316,7298,7243,8221
7437,7432,7277,7138
7303,7278,7423,7443
7396,7251,7336,7278
7335,7257,7423,7154
7558,7295,7330,7219
7385,7305,7417,7168
7358,7345,7341,7200
7296,7224,7395,7130
7382,7335,7383,7273
7287,7213,7385,7209
7408,7214,7432,7240
7283,7363,7318,7334
7336,7246,7440,7255
7399,7311,7384,7185
7294,7274,7334,7300
7354,7205,7378,7185
7300,7342,7350,7253
7374,7286,7445,7311
7175,7378,7312,7255
7233,7233,7433,7253
7330,7203,7371,7227
7277,7265,7369,7158
