unsorted_times,reversed_times,nearly_sorted_times,sorted_times
21497,19398,24951,20317
18118,18363,22643,19269
18085,18407,22164,18867
18152,18381,21802,18925
18229,18397,22012,18988
18457,18393,21712,19108
18304,18303,24137,19133
18296,18260,21340,19125
18561,18980,21474,19085
18439,18903,21410,19058
18616,18865,21413,19002
18533,19036,21432,19107
18564,18858,21579,19129
19497,18806,21481,19155
18582,19110,21636,19033
19149,18825,21519,19073
19382,19043,21406,19218
18449,19013,21132,19101
18563,20550,21207,18994
19076,18824,21322,19130
19046,18848,21201,18930
19100,18846,21350,19197
19235,18826,21313,19088
18958,18933,21264,19020
18984,18800,21183,19202
19014,19029,21461,18828
18980,19022,21416,18758
19114,18915,21600,18903
22473,18827,21635,19215
18762,18857,21441,19788
19092,18822,21580,19859
19136,18914,21537,19711
19193,18914,21203,19788
19026,18995,21522,19755
19106,18964,21462,19832
19151,19108,21610,30741
19072,18929,22045,14545
19122,19002,22264,19033
19053,18907,22196,14334
19067,18895,21582,14095
19226,18956,21539,14051
19090,19021,21424,13995
19068,19113,21637,13980
19145,19000,21582,14359
19164,18824,21565,14034
19140,19056,21522,13931
19087,18799,21479,13841
18956,18964,21553,13949
19204,18907,21642,13882
19211,19043,21468,11599
19337,18961,22197,11499
19011,18941,22235,11704
19102,18867,23275,11848
18998,18956,21523,11871
19163,18971,21613,11373
19215,19008,21432,11630
19269,19157,21693,11369
19324,19044,21511,11608
19127,19066,21553,11567
19238,18871,21617,11376
19024,18822,21652,11334
19254,18910,21415,11520
19213,19002,21663,11387
18993,18929,21323,11591
18918,18959,21659,11543
18869,18983,21610,11588
19174,18788,21741,11683
19036,18993,21567,13170
19123,18959,21567,11629
19156,18799,21533,16142
19282,20797,21387,11593
19112,19079,21560,11511
19023,18962,21696,11647
19205,18796,21783,11805
19276,19269,21611,11723
19173,19029,21593,11550
19206,18847,21498,11915
19114,18893,21688,11615
19113,19038,21641,11550
19239,18933,22308,11628
21019,19072,22388,11621
19000,19593,22258,11510
19140,19666,22104,11528
18953,19540,22259,11801
19283,19550,22277,11552
19063,19326,22234,11918
19077,19366,22152,11656
19016,19620,22162,11507
18727,19457,22223,11340
19084,19547,22156,11487
18928,19519,22260,11501
19157,19627,22270,11297
19284,19463,22414,11419
18843,19572,22286,11614
19089,19420,22347,11446
19033,19434,22170,11822
19123,19487,22307,11548
19119,19645,22198,11688
19100,19582,23278,11721
19264,19596,21837,11311
