unsorted_times,reversed_times,nearly_sorted_times,sorted_times
200386,160979,202008,159058
195900,149102,118110,155673
194502,121983,116409,121383
197597,124287,116509,115831
194281,121339,117418,115833
198547,122522,116461,117152
197427,122106,116888,116116
197496,121944,116265,116161
198952,121898,118250,115951
194105,120729,117090,115727
194244,115315,116662,122068
194270,115473,116355,122710
194073,115401,116668,122840
202885,115460,116350,123217
198498,115860,116386,122507
195949,115863,116383,122855
196325,115919,123137,122534
194472,115609,127167,123104
203947,116911,126243,127058
195941,115052,127037,122019
195785,115194,126729,121759
195672,115150,127348,124961
195877,115955,127263,123385
198526,116061,125407,121945
214274,115569,123104,123166
195069,115737,116246,120710
193675,117525,116016,126341
193820,117075,116002,123412
219893,116821,115993,126752
239925,117670,115930,125850
208754,117822,115989,125612
209527,117849,115941,127213
208565,117542,115869,125471
210716,116835,140482,125181
214605,116311,139175,133506
213645,117859,139207,137235
213527,115393,138756,138528
213966,114972,138854,138380
214470,117489,137426,138504
195068,114692,138650,137519
194596,114857,121590,138864
195107,114755,116311,134504
194923,114773,115728,115594
188931,114728,115824,115622
141999,116352,115939,115577
123102,114821,115895,115436
123384,115557,115535,116068
123566,115631,115860,115953
120589,115640,118528,115228
118513,115536,125375,115256
123106,115370,125772,117306
125464,115116,125984,116418
126402,119348,125614,116470
126233,125685,125717,116615
124882,124407,125543,116190
125052,124767,125489,116508
124740,126789,125907,116273
125865,122576,119604,116567
126341,123663,119384,118796
121477,124353,119527,125789
121313,121964,119672,125927
122355,115452,119543,125861
121765,114973,119595,126017
121435,115061,119475,125951
127495,115013,119342,125850
132042,115322,118361,126826
132610,115310,116427,117970
130273,115130,116117,115856
130236,115523,116874,115033
130761,117449,116441,114778
130862,115653,117504,114996
130288,116037,116852,114896
130236,116120,116430,115123
130358,116007,125057,115067
149163,117172,133476,114974
168489,116157,122655,122622
166298,116191,122655,127377
167322,117482,124093,129307
167390,115611,122450,125442
167218,115367,123856,125891
156625,115250,123188,127396
138455,115280,124671,127788
137981,115260,122109,127272
138228,115110,122500,121551
138049,115470,122249,114717
138302,115354,122728,114786
128787,121550,122669,114854
128740,124215,122767,114659
127355,125698,123744,114815
126878,124686,126608,114838
127318,123749,142095,114726
125346,124118,141244,114812
117952,122499,141961,128956
117569,124753,143402,130709
117543,126597,140973,127267
118424,124333,140836,126831
116179,126223,141181,127258
116507,126949,122843,127095
116143,125962,123457,126172
116151,125239,123013,128594
