unsorted_times,reversed_times,nearly_sorted_times,sorted_times
602,433,411,263
332,254,257,208
238,216,272,220
209,200,245,208
207,199,246,219
208,201,251,211
209,198,238,209
210,201,228,208
210,200,229,215
207,198,227,207
208,201,210,206
222,198,209,211
209,197,210,217
215,202,209,208
208,200,209,212
207,199,209,208
207,201,211,211
208,201,208,208
212,214,210,212
207,198,208,209
210,198,210,211
208,199,209,208
208,198,213,211
208,199,209,208
207,199,208,211
208,198,212,208
209,198,208,212
208,199,208,209
208,198,212,211
209,199,210,209
207,198,209,211
208,199,212,209
208,198,209,212
207,199,209,207
210,198,210,211
208,199,208,209
209,199,210,211
209,199,208,208
208,199,212,213
207,199,209,217
208,199,208,209
208,198,212,212
208,199,209,208
209,198,208,212
208,198,212,209
208,199,209,212
208,198,209,208
207,198,213,212
208,199,209,209
208,199,209,212
208,199,212,209
208,198,209,211
209,199,207,209
209,199,212,212
209,199,209,209
209,199,208,212
208,199,211,209
208,199,208,212
208,199,209,208
208,199,212,211
208,198,208,209
208,199,208,212
208,199,212,208
209,199,208,211
208,199,208,208
210,199,212,207
211,201,210,207
207,202,219,206
208,203,208,206
208,202,211,207
209,202,209,206
210,203,209,206
209,201,209,207
207,202,209,206
207,202,209,207
208,202,209,206
207,202,208,206
208,202,209,207
208,202,210,207
208,203,209,207
207,201,209,207
207,202,209,206
208,202,208,206
208,202,209,206
208,202,210,205
207,202,209,207
207,202,209,206
207,201,209,206
206,201,209,206
207,201,209,207
207,201,210,207
206,202,209,217
207,202,208,207
207,201,209,205
207,201,209,205
207,201,209,206
207,201,210,205
207,202,210,207
207,201,209,206
207,201,209,206
