unsorted_times,reversed_times,nearly_sorted_times,sorted_times
1278271,1329246,1691214,1278130
1271210,1235895,1592250,1232337
1263682,1250847,1640954,1289253
1327962,1206251,1675228,1351126
1318592,1206199,1710698,1347240
1262367,1212028,1673074,1249824
1232808,1201533,1606368,1242620
1246736,1203727,1603361,1342738
1315491,1200688,1689614,1250859
1424362,1320179,1687239,1245169
1296330,1285872,1755924,1261731
1241507,1242304,1643892,1293228
1239616,1221580,1718730,1244387
1237939,1210118,1734106,1244802
1241417,1246676,1639191,1238422
1210180,1213091,1537772,1242390
1172650,1221736,1558003,1239368
1171082,1266791,1539729,1187633
1188984,1163304,1522111,1253355
1181789,1213134,1515476,1265003
1235286,1144484,1618951,1199420
1204286,1140758,1806403,1187764
1183991,1142610,1643352,1165313
1176384,1251496,1662900,1203947
1184477,1199835,1584904,1231840
1179553,1154817,1637563,1183258
1194916,1139244,1542781,1242941
1266921,1140103,1524698,1181198
1173606,1354942,1538766,1201844
1215843,1177873,1514570,1241836
1212229,1147096,1512631,1193931
1171731,1170308,1511801,1260659
1177297,1183175,1507965,1190138
1185162,1154094,1544043,1259540
1171642,1233215,1562137,1183469
1184688,1232749,1640518,1242999
1188253,1154481,1607781,1186874
1262952,1184333,1533341,1194079
1176211,1159658,1527502,1230134
1176601,1244923,1537934,1238776
1191036,1151077,1530598,1295039
1234171,1154144,1543231,1180652
1256588,1140719,1669568,1185977
1216632,1264567,1642543,1180884
1243218,1143215,1570841,1251874
1195249,1165817,1571470,1185143
1263038,1212680,1599311,1260223
1190099,1209750,1614242,1172584
1207333,1170815,1605290,1176400
1183237,1149912,1533832,1180116
1172605,1158794,1612484,1168488
1181109,1163670,1516400,1353093
1214263,1292643,1515750,1264584
1200397,1395042,1545234,1175640
1179765,1233754,1563127,1172609
1244687,1179768,1569557,1172651
1219373,1272971,1601243,1184639
1203756,1329153,1540282,1224281
1235401,1238692,1518421,1282376
1230834,1160446,1526706,1190347
1225634,1170197,1541413,1185590
1204509,1158965,1533952,1192146
1279420,1146943,1514169,1237222
1295516,1160286,1542030,1216491
1330451,1210761,1640263,1190444
1180900,1137273,1665082,1191685
1176008,1140778,1590799,1246435
1177146,1148615,1527277,1224042
1202063,1142023,1509728,1181967
1172279,1162116,1505378,1183867
1204158,1165209,1518523,1180785
1236005,1161711,1623386,1222683
1177058,1166685,1539725,1231199
1209241,1165607,1558120,1176616
1224927,1244480,1659320,1188391
1176222,1168956,1581116,1183339
1220469,1134962,1557616,1183005
1186898,1142361,1522484,1178870
1188109,1141433,1549890,1184256
1172703,1155402,1603047,1263009
1197390,1158077,1596236,1237928
1220073,1203837,1509686,1189794
1216002,1137469,1526408,1235344
1211655,1148786,1505005,1214118
1171319,1156569,1595943,1188133
1182474,1206175,1534726,1188468
1286047,1188676,1508586,1181237
1256861,1147748,1554403,1175417
1250455,1138277,1594721,1176084
1190629,1145885,1567242,1173186
1197905,1165217,1508233,1180684
1236770,1151765,1557691,1177888
1184255,1150980,1597885,1216953
1265824,1149487,1560331,1199153
1188189,1243649,1569735,1205931
1183208,1141083,1540732,1183403
1207169,1223886,1573610,1204488
1229154,1236175,1545946,1195584
1244050,1147597,1574961,1178339
1227550,1178220,1566014,1194257
