mergesort2_100_unsorted_times,mergesort2_100_reversed_times,mergesort2_100_nearly_sorted_times,mergesort2_100_sorted_times,mergesort1_1000_unsorted_times,mergesort1_1000_reversed_times,mergesort1_1000_nearly_sorted_times,mergesort1_1000_sorted_times,mergesort1_10_unsorted_times,mergesort1_10_reversed_times,mergesort1_10_nearly_sorted_times,mergesort1_10_sorted_times,mergesort1_100_unsorted_times,mergesort1_100_reversed_times,mergesort1_100_nearly_sorted_times,mergesort1_100_sorted_times,mergesort2_10000_unsorted_times,mergesort2_10000_reversed_times,mergesort2_10000_nearly_sorted_times,mergesort2_10000_sorted_times,mergesort1_100000_unsorted_times,mergesort1_100000_reversed_times,mergesort1_100000_nearly_sorted_times,mergesort1_100000_sorted_times,mergesort2_100000_unsorted_times,mergesort2_100000_reversed_times,mergesort2_100000_nearly_sorted_times,mergesort2_100000_sorted_times,mergesort1_10000_unsorted_times,mergesort1_10000_reversed_times,mergesort1_10000_nearly_sorted_times,mergesort1_10000_sorted_times,mergesort2_1000000_unsorted_times,mergesort2_1000000_reversed_times,mergesort2_1000000_nearly_sorted_times,mergesort2_1000000_sorted_times,mergesort1_1000000_unsorted_times,mergesort1_1000000_reversed_times,mergesort1_1000000_nearly_sorted_times,mergesort1_1000000_sorted_times,mergesort2_10_unsorted_times,mergesort2_10_reversed_times,mergesort2_10_nearly_sorted_times,mergesort2_10_sorted_times,mergesort2_1000_unsorted_times,mergesort2_1000_reversed_times,mergesort2_1000_nearly_sorted_times,mergesort2_1000_sorted_times
11183,12065,11260,11433,186861,176067,193983,173506,8959,8789,7574,7089,82320,17336,18287,15586,1312575,1188295,1188226,1316843,18263797,18100239,19593264,17981211,12957784,12756233,12968824,12789594,1745099,1811927,1917893,1844860,140336784,140968245,140010662,140487081,193872299,193556677,208067487,195248540,944,962,969,978,195107,114755,116311,134504
11173,11539,11234,11893,182637,175999,196514,173518,9455,8555,7572,7205,81976,17377,17868,15533,1174664,1231031,1177829,1275229,18151886,18007654,19402699,18436818,12844770,13047781,13034981,12788653,1736699,1714945,1912857,1796246,140736633,140210655,141542643,140938097,193668728,194674128,207043344,194487392,945,960,957,979,194923,114773,115728,115594
11204,12013,11287,11718,178972,175882,182878,173329,9578,8802,7899,7141,82643,17397,17545,15628,1175076,1232515,1186311,1277439,18459462,18613984,19795241,18458972,13194658,12659334,12652361,12744236,1730271,1788492,1824407,1694894,140848211,140722523,140878136,141203732,192720183,194020984,205622176,194653387,1141,984,954,959,188931,114728,115824,115622
11151,12714,11348,11841,178033,175401,182606,173530,9200,8850,7702,7079,82774,17293,18024,15574,1232093,1180721,1185659,1218389,18336877,18282683,19810148,18528552,12954677,12733607,12801869,12821796,1718477,1686242,1928236,1779208,141312337,141320065,141932909,140913309,194706505,198490832,206426327,192986830,963,955,956,1121,141999,116352,115939,115577
11192,11942,11372,11761,178014,175370,182363,173535,9115,8796,7746,7113,82293,17293,18519,15636,1184234,1177371,1182005,1177337,18369983,18061197,19893792,18247522,12900384,13034408,13012546,12802497,1701745,1817641,1890167,1822182,141391512,141553768,140286022,140929385,192671339,194242428,207328152,194170184,1105,976,968,965,123102,114821,115895,115436
11147,11806,11272,11519,178340,175812,181746,176829,8803,8825,7675,7247,82327,17275,17409,15637,1253181,1179166,1262219,1251903,17977547,18315096,19675150,18161550,12722490,12953925,12922467,12861018,1718715,1724391,1941527,1754418,140862058,140618499,141515413,140519427,192479533,195405560,206901041,193179714,1121,946,953,942,123384,115557,115535,116068
11159,12028,11230,11983,179213,185716,182163,175236,9137,8826,7823,7106,82754,17374,18231,15652,1179409,1193918,1205496,1194499,18418249,18563412,19730077,18238965,12715559,12814448,12628292,12922043,1694979,1779361,1914069,1741765,140523228,141622942,141019749,141087392,193624548,192917590,206530468,194653600,1065,959,951,1184,123566,115631,115860,115953
11177,12357,11194,12264,173918,174153,189944,175223,9166,8885,7610,7148,91639,17291,17717,15596,1240648,1262535,1186683,1197387,18043536,18547481,19761233,18257739,12836607,14532304,12918469,13008990,1709230,1690031,1841985,1754017,142582969,141697969,141479129,140078929,192199608,194272773,207237909,193699501,979,972,951,969,120589,115640,118528,115228
11215,12078,11252,12403,174210,173690,195769,175586,9476,8851,7793,7113,81666,17301,17768,15814,1211182,1296818,1177154,1194600,18038118,18211519,19648686,18257740,12715679,12816930,12716833,12714706,1716859,1721011,1925244,1793888,143118459,139634632,141076983,140553601,192769888,194668978,207427598,195196584,979,975,950,949,118513,115536,125375,115256
11164,12228,11280,11748,173543,174288,193137,175113,9278,8687,14506,7113,81663,17279,17902,15586,1176539,1270122,1190957,1187320,18135326,18312836,19544258,18252473,12774101,12748745,12845207,12985891,1778371,1757526,1891004,1804054,140317777,140648477,140402381,140770725,194299041,193936074,207577537,193945442,958,943,951,1130,123106,115370,125772,117306
11185,12103,11326,11667,173735,173341,191253,176515,9558,8504,7690,7083,81680,17315,17541,15750,1182516,1189724,1181979,1253674,18534273,18534001,19566413,18251842,12828527,12900969,13408917,12641288,1696233,1722921,1848096,1780125,141501131,141898513,141766969,140545177,193045691,194020088,206912984,193719269,945,972,953,1094,125464,115116,125984,116418
11189,11507,11223,11853,173832,175986,194719,174822,9324,8831,7593,7137,81491,17391,18005,15610,1175803,1197603,1179007,1213926,18363863,18431197,19823415,18352746,13152616,12944187,12898731,12969687,1707229,1690324,1847736,1883039,142121785,141663163,140167539,140910219,193292507,194809264,206689090,194192368,941,959,952,954,126402,119348,125614,116470
11156,12145,11244,11770,179789,176318,199865,174647,9372,8880,7425,7140,81702,17312,18204,15648,1183337,1247158,1176901,1200456,18231686,18476953,19520697,18098848,12791744,12749256,12781818,12998945,1701680,1843723,2051813,1701134,141206106,139707683,141183225,141391680,192883395,194792921,206985464,194611610,979,954,955,945,126233,125685,125717,116615
11160,11547,11270,12144,181502,176494,197730,174178,9217,9089,7575,7128,81564,17317,17633,15706,1194340,1205959,1180307,1303346,18449234,18279849,19715018,18806558,12783194,12809510,12919241,12832121,1768794,1796182,1932380,1692798,140527677,140693517,140655201,141878514,192927788,193947518,207614375,193819594,957,975,964,942,124882,124407,125543,116190
11150,11651,11257,11937,181739,176822,197387,174473,9336,8920,7746,7173,81431,17262,17344,15627,1272217,1201056,1174622,1268284,18511064,17950443,19590121,18249200,12889524,12914478,12974828,12948508,1743326,1702926,1884190,1736209,140974359,139976075,141042121,142670845,193840813,193808078,207173706,194069769,967,943,952,1158,125052,124767,125489,116508
15290,11709,11285,11952,174867,176327,198987,175096,9214,8535,7813,7104,81521,17287,17749,15733,1220241,1297427,1203980,1231021,18456178,18181538,19659701,18310069,13032265,12815627,12908567,12807462,1718203,1686264,1954853,1815920,142506997,141030500,140383692,140703722,194067492,193379933,206961922,194918049,1132,941,954,1179,124740,126789,125907,116273
12353,11540,11201,11686,174926,176721,195052,184719,9100,8643,7811,7139,81335,17326,17784,15614,1237810,1180633,1296122,1235563,18449375,18038873,19767015,18221261,12764154,12852542,12841396,13007091,1831671,1692246,1806280,1738007,140811938,141026853,146718758,140591950,193425484,193541343,207093694,194139280,963,957,957,1075,125865,122576,119604,116567
12320,11927,11269,11838,174066,183397,195050,186694,9501,8878,7813,7085,81442,17298,17954,15541,1181811,1246360,1254417,1203643,18063555,18026550,19493692,18246609,12834169,13084427,12964393,12844653,1697475,1703197,1806641,1730599,141203916,140987202,143587445,140898319,193205300,192994233,208337665,193418706,951,971,963,961,126341,123663,119384,118796
12331,11854,11288,12032,190659,193021,191326,189024,9636,9040,7904,7098,81622,17285,18671,15557,1178629,1203784,1204539,1278071,18344407,18159837,19675039,18504634,13084035,12790485,12817512,12849500,1693432,1689139,1815613,1690237,141613130,141383136,141824139,141306667,193790896,194908030,206858515,193397691,938,961,961,956,121477,124353,119527,125789
12549,11775,11262,11886,195412,190601,192328,185623,8967,8861,7725,7093,92169,17353,18569,15656,1273875,1179015,1188312,1276082,18295317,18357491,19733803,18239038,12657604,12994155,12766011,12625796,1849958,1684567,1859336,1824418,141602238,140778897,142553221,140880793,192925169,194167235,206455944,193961792,953,941,953,957,121313,121964,119672,125927
12588,11764,11267,11921,195618,190765,191666,189129,9095,9185,7478,7099,90956,17294,18147,15639,1213841,1214026,1174532,1281715,18410804,18149942,19663049,18075183,12899251,12944056,12816162,12855539,1760463,1756264,1865283,1694155,140612763,140170595,141126117,141109593,193167570,193936685,206038276,193790341,947,939,971,946,122355,115452,119543,125861
11780,11787,11314,12002,196239,194227,190555,187739,9095,9151,7426,7227,89738,17328,18262,15457,1239199,1268059,1227776,1207027,18343508,18375752,19536238,18142278,13202010,12814272,12698376,12975234,1889650,1729738,1922916,1821792,139715623,141196720,141370514,140559672,193963541,193513090,208039050,194262901,977,966,954,964,121765,114973,119595,126017
12232,11798,11213,12037,194492,186976,190084,184973,9050,9072,7581,7082,87279,17406,17878,15533,1327551,1215333,1220693,1191283,18238773,18038521,19561194,18291357,12724820,13082977,12800915,12738941,1689693,1736549,1818480,1754727,141272002,141644797,140570263,141407089,193213468,193133842,207153770,193969392,1133,955,955,1249,121435,115061,119475,125951
11861,12249,11244,11574,181240,178627,178571,183888,9047,8914,7512,7139,85090,17287,17468,15468,1250530,1200561,1419201,1219394,18279371,17912003,19740040,18360290,12686938,12521981,12709655,12849881,1795614,1717742,1881751,1786543,141443351,140535675,142051937,140948250,194408572,194320015,206019416,193606995,1119,957,957,1034,127495,115013,119342,125850
12069,11829,11689,11737,174823,177753,178772,182650,9916,9397,8061,7202,86448,17365,17889,15651,1194205,1264262,1437200,1269809,17904197,18587752,19711824,18121610,12705072,12898127,12752866,12753382,1750313,1716575,1812243,1753999,141283235,140413575,141727015,141362417,192647260,194597319,207328598,193457762,1279,954,956,954,132042,115322,118361,126826
12323,12219,11186,12251,174285,177962,179078,182619,9570,9086,7666,7326,83810,17287,17198,15644,1182901,1179437,1273087,1206230,18246197,18248582,19750952,18285636,12721085,12942909,12831276,12940006,1854419,1759864,1891795,1747718,140276852,141500650,140605595,141088384,193543221,192394413,206521579,194753781,1022,945,958,955,132610,115310,116427,117970
12255,11725,11202,12118,174045,177710,178888,182748,9437,8763,7941,7110,85131,17342,17260,15518,1238341,1242479,1263339,1260533,18203627,18400505,19921613,18281786,12731400,12781843,12901972,12626625,1753651,1740235,1853857,1694104,139893729,142253398,141219856,141532426,192728562,193264663,206548065,193325398,1160,957,957,956,130273,115130,116117,115856
12160,11439,11175,11906,173675,177595,178603,184057,9668,8857,7725,7142,86437,17314,17158,15524,1271794,1190900,1204605,1179628,18223868,18095881,19869073,18294468,13011348,12620369,12829138,12701179,1754475,1964323,1810255,1716938,140982329,142280102,141349186,141308449,193817133,193123034,207613867,193156816,1022,955,963,940,130236,115523,116874,115033
12206,11608,14033,11420,175543,179228,181214,175343,9362,8908,7501,7106,89943,19697,16991,15571,1212855,1179682,1267485,1176307,18061034,18211677,19847733,17947386,12552217,12989481,12692427,12847840,1777270,1734208,1818261,1818721,140867650,140675272,140959697,141146141,192069709,193692583,207502582,193149094,992,956,956,962,130761,117449,116441,114778
11735,12360,11082,12071,174428,176372,180210,175241,9631,9066,7620,7184,87395,17532,18761,15621,1280394,1188816,1262621,1178368,18382482,17849169,20057316,18252081,12896424,12830393,12627647,12780560,1816873,1814238,1896496,1703656,141198331,140650491,140098080,140808752,192008866,194270242,207173900,193441014,1122,968,955,969,130862,115653,117504,114996
12216,12204,11014,12060,174997,176031,180530,176001,9767,9208,7725,7160,89973,18243,16945,15633,1183548,1184082,1306371,1251676,18247969,18125175,19731841,18309119,12727185,12723916,12807845,12762672,1764771,1763873,1808344,1704343,139965727,140176086,141168227,141526091,193261235,194544087,207723910,194111956,968,967,956,1138,130288,116037,116852,114896
12351,11472,11089,12108,174577,175798,180060,175700,9627,9030,7536,7128,93683,18262,16894,15789,1304789,1179523,1191456,1325233,18180170,18588356,19724793,18319509,12785099,12823504,12693080,12684148,1831613,1797255,1818489,1755560,141334294,141625822,141673710,141398652,193387009,193493424,206596909,193537931,959,956,956,1079,130236,116120,116430,115123
12124,11999,11087,11674,174759,176736,180060,179402,9459,8916,7809,7199,84612,18001,16924,15611,1399616,1248997,1176895,1236677,18382911,17994320,19716206,18221397,12963334,12887175,12843234,12843849,1776368,1752098,1851832,1765148,140693047,140528049,140817660,141089658,192707770,194099573,206309499,195179022,969,957,955,952,130358,116007,125057,115067
12241,11594,11041,12522,174577,177478,182757,187520,9524,9158,7452,7255,50537,17119,17011,16077,1301699,1274492,1180852,1298480,18472063,18020816,19743875,17882001,13101418,12750324,13134684,12658936,1695592,1828478,1965420,1811416,140704396,140962186,141467160,139898439,192448786,193944603,206117622,193211146,962,940,956,943,149163,117172,133476,114974
12019,12086,11060,11832,175694,172890,193028,184950,9604,8962,7561,7169,17268,18000,16957,15609,1363690,1222830,1183584,1206995,18197587,18335356,19911788,18418151,12951311,12657674,12937736,12898945,1698736,1696089,1890631,1708960,141093971,140396887,140121370,140086830,192942638,193694705,206269235,192196795,956,940,955,1131,168489,116157,122655,122622
11915,12276,11120,11714,173263,172628,195614,188049,9555,8666,7445,7176,17583,17561,16852,16141,1204965,1185809,1275207,1223385,18133330,17876740,19889070,18409795,12815924,12885001,12913792,13030993,1701415,1776905,1895754,1864119,140959147,141498034,141082682,141474086,193153060,193395553,207053658,193450512,975,969,954,957,166298,116191,122655,127377
12234,11622,11128,11822,173135,172642,193479,183682,9212,8885,7717,7193,17154,17841,16974,19567,1274007,1240239,1263107,1287413,18305948,18086273,19543312,18338224,12650666,12799943,12777016,12829287,1712886,1700432,1857554,1844048,141395633,141678784,142308529,141486809,192910181,193343870,206201791,193804844,937,967,953,968,167322,117482,124093,129307
12520,12541,11137,12459,172948,172760,192827,184539,9496,9205,7809,7079,16891,18261,16879,16582,1215362,1195640,1267739,1228184,18382384,17750115,19518523,18165684,12756459,12995974,12807535,12757799,1740791,1755502,1829431,1796371,141305499,140524535,140888008,140970437,192942534,193718644,207899793,193185799,960,945,958,937,167390,115611,122450,125442
11895,11777,11077,11610,173280,172830,195878,186100,9834,8882,7907,7105,17550,17975,16920,15951,1177803,1263110,1206591,1250727,18184075,18227213,19779051,18012900,12796668,12833734,12731321,12857833,1959306,1864904,1800933,1692544,141672719,140088250,141012643,141188297,192426042,193288855,206480129,197738708,978,943,947,946,167218,115367,123856,125891
12683,11977,11072,11511,172902,176177,180311,186233,9404,9130,7751,7218,17489,18206,16892,16309,1192674,1222330,1186547,1182396,18190569,18234916,19689045,18044941,12888171,12847146,13081235,12736745,1865802,1818460,1872464,1721951,140810523,143054141,140767299,140505618,194773196,193908871,206481208,195336393,974,961,948,936,156625,115250,123188,127396
