unsorted_times,reversed_times,nearly_sorted_times,sorted_times
187946,124507,218721,121492
181637,117772,193060,118263
184228,114617,190116,117522
182702,115358,166028,119666
184545,114411,156834,117414
194184,114565,155521,116226
181297,114269,149319,116656
176320,114172,157225,115588
178725,115425,153000,116603
195394,113009,149694,116586
202168,113554,151257,117022
212092,113704,150226,116993
198551,114279,151078,119243
200284,113318,151505,116363
199109,113268,152607,116569
199883,112264,152917,117105
201638,113329,153355,116301
198936,117923,153598,116205
198081,116177,152915,116840
199214,115526,155538,116667
199021,115815,150707,118893
198956,115472,149509,118291
198180,115390,149297,118060
197804,115726,148466,119035
197305,115529,149154,117547
197813,117473,148955,118356
199454,133152,151272,118193
196122,132919,146575,118352
215381,133432,145594,118300
268501,133072,145006,119333
238249,132738,144678,117107
199091,131178,145302,117191
199643,133241,145007,117181
199181,124284,150077,117190
199800,113539,149440,116830
201209,112757,153815,117527
199395,112735,142333,117178
197985,112697,142059,123788
198383,113527,142346,127920
198772,113743,142200,127774
200660,113767,145636,127831
197331,113546,146162,127473
196887,149743,144984,127734
196704,131113,146305,127580
198288,117225,145571,127467
199293,117102,146338,122725
197830,118792,145837,116732
197801,117707,144552,116617
198669,116950,139326,116610
197288,117091,139564,116014
198874,118993,140010,116464
196346,114967,140300,116073
196013,113883,140185,115777
194822,113862,140462,118474
197070,114127,142039,117551
197345,114037,139590,117292
194359,114098,140344,117200
195081,114034,140521,118238
196259,114144,140052,117252
194642,116067,140481,117220
194096,113055,140455,117409
197436,139981,143651,118336
194843,139719,140304,118726
196855,139446,147651,116013
198218,138905,148780,117640
198461,139522,147911,118321
198182,134612,148151,117114
197713,122369,147456,117316
197422,123502,145373,116776
196928,124029,140772,117301
197223,122689,140298,119024
198384,121805,140521,116375
197918,122395,140723,116161
196377,122658,140203,115513
197454,124888,140228,116381
198066,127672,141083,115674
198432,128122,139482,116528
198176,127586,139848,116182
197643,127823,140053,115869
198749,127661,138776,118870
199391,128253,140187,117308
199436,127604,140300,116707
198231,130813,141192,117422
197487,128256,138697,117493
198284,128171,146744,117205
198122,128548,145996,117831
198395,140070,145741,122039
199503,142692,146810,124696
200425,145390,146158,115889
201545,153256,144569,115897
201888,151285,138525,116190
202963,150004,138769,116082
202445,149352,138362,115488
202365,155714,139023,115606
201607,160956,138885,116218
202340,160741,138922,116217
203301,165650,142478,119037
202010,164729,144129,119592
201828,164508,144388,118643
201628,163802,144194,118883
